anchor_cat,positive_cat,negative_cat
n02667093,n02110806,n03998194
n02999410,n03544143,n04131690
n04579432,n03459775,n02114855
n02105162,n01818515,n03930313
n01675722,n01873310,n04033901
n09428293,n02988304,n04357314
n03980874,n02113624,n02092002
n02817516,n02403003,n02802426
n13133613,n09246464,n02086240
n04476259,n07613480,n04264628
n04579145,n02165105,n02123045
n04392985,n03868863,n02389026
n04376876,n02395406,n07930864
n01950731,n02487347,n01855672
n02089867,n03788365,n04525305
n09399592,n02123045,n01531178
n01728920,n03272010,n02840245
n04040759,n02607072,n04147183
n04612504,n03724870,n02840245
n02256656,n02641379,n09428293
n02033041,n03207743,n03259280
n03706229,n04550184,n07753275
n03706229,n04153751,n02113186
n03062245,n03944341,n01531178
n03942813,n03891251,n03661043
n01629819,n04275548,n02268853
n04065272,n02894605,n03792972
n04336792,n02123597,n02105251
n04554684,n02395406,n01968897
n03388183,n03954731,n02086910
n03065424,n02101388,n06794110
n02102480,n01616318,n07930864
n03804744,n01729977,n02110806
n02504458,n02410509,n03014705
n02108551,n02422106,n02113978
n02117135,n02106662,n03967562
n01955084,n13040303,n02480855
n07932039,n01622779,n03775546
n02108551,n04560804,n02708093
n01518878,n03444034,n02219486
n01498041,n03047690,n01531178
n02799071,n03929855,n04380533
n02701002,n03710637,n02229544
n03793489,n01882714,n06794110
n03804744,n03530642,n03457902
n07716358,n03825788,n02120079
n03208938,n02859443,n02486261
n02028035,n02504458,n02119022
n03532672,n04146614,n01601694
n07875152,n03047690,n04552348
n01843383,n02797295,n02009912
n03201208,n02105412,n13133613
n02108915,n03026506,n02326432
n03770679,n02441942,n13037406
n04356056,n04584207,n03417042
n02098413,n02509815,n04476259
n03532672,n02865351,n02088094
n02669723,n07693725,n02814533
n03481172,n03690938,n01582220
n02006656,n07693725,n04423845
n03127747,n07745940,n02795169
n02099429,n02454379,n03400231
n01774750,n01945685,n02100877
n04065272,n02906734,n03590841
n02871525,n03814906,n04423845
n04505470,n03062245,n02980441
n07720875,n02111889,n04258138
n02102973,n02096177,n03877845
n02096437,n02640242,n02814533
n02910353,n01985128,n02086910
n03042490,n01729977,n03642806
n02787622,n02098413,n04263257
n03742115,n04606251,n02444819
n03825788,n01945685,n03444034
n02795169,n04584207,n02128925
n04347754,n03272562,n02174001
n02107683,n02607072,n04604644
n02115913,n01806567,n01806143
n04090263,n04179913,n02797295
n04252077,n04356056,n03998194
n02395406,n03045698,n03661043
n01641577,n02138441,n02119022
n03956157,n03196217,n01798484
n03016953,n02115913,n03770679
n02978881,n04228054,n02056570
n02102318,n02408429,n06874185
n02777292,n03476991,n02980441
n03787032,n03000247,n04366367
n03868863,n04133789,n03417042
n02791124,n04040759,n03494278
n03764736,n02017213,n04486054
n06874185,n03476991,n02106550
n02504013,n04209239,n07753275
n01924916,n03773504,n04443257
n03775546,n07747607,n03877845
n03770439,n03710637,n01828970
n03956157,n01697457,n01667778
n02277742,n04517823,n02114367
n03721384,n09472597,n02493793
n04067472,n02108551,n02690373
n01943899,n02860847,n04613696
n04067472,n02108551,n02950826
n02009912,n01735189,n03868242
n02106550,n02493793,n03877845
n02100583,n04026417,n02699494
n02481823,n01945685,n03697007
n02165105,n04074963,n02980441
n02095570,n04398044,n04592741
n02002556,n02102480,n04356056
n02092002,n01776313,n02494079
n03709823,n01917289,n03459775
n02099712,n02869837,n01820546
n01496331,n02769748,n03494278
n03141823,n04141076,n03388183
n02112137,n02113978,n04317175
n04325704,n02102177,n04008634
n04487081,n04264628,n07753275
n04483307,n01883070,n01558993
n02927161,n01914609,n04591713
n02930766,n02093256,n01558993
n03666591,n04099969,n04599235
n01641577,n04141076,n03947888
n04152593,n07697537,n02281406
n02481823,n03888605,n04456115
n03075370,n02815834,n02814533
n04149813,n02808304,n03877845
n02870880,n02879718,n02107312
n01943899,n02786058,n04380533
n07730033,n03125729,n02606052
n02128925,n02098413,n04037443
n02795169,n01980166,n01592084
n02108000,n03857828,n02100583
n02007558,n04065272,n02085936
n02092339,n03535780,n03223299
n04366367,n04311004,n02110958
n01872401,n03259280,n15075141
n02992211,n02259212,n04613696
n03717622,n03764736,n02088094
n07745940,n01664065,n02951585
n02930766,n03899768,n04596742
n02127052,n04356056,n04090263
n04591157,n02769748,n09332890
n07613480,n04009552,n02137549
n03443371,n04141076,n03877845
n02107908,n01498041,n04589890
n04346328,n07742313,n07753275
n03857828,n02536864,n02074367
n02096585,n01877812,n03445777
n01532829,n03954731,n03877845
n02128757,n01644900,n09332890
n03141823,n02093754,n04317175
n03201208,n04074963,n02097474
n02879718,n01873310,n01820546
n02123045,n03223299,n04033995
n04418357,n03658185,n02125311
n02113624,n03394916,n02823750
n03690938,n04208210,n04332243
n04008634,n02667093,n03492542
n02077923,n01944390,n02100735
n04149813,n03788365,n02091635
n02814533,n01692333,n06874185
n03930313,n03045698,n03961711
n04458633,n01855032,n02701002
n01855032,n02108915,n02823428
n04285008,n02325366,n04482393
n02817516,n04209133,n01930112
n02877765,n04152593,n04033995
n01631663,n01695060,n04090263
n03938244,n01985128,n04326547
n03777754,n12267677,n01843065
n03290653,n02978881,n04004767
n03450230,n13037406,n03109150
n07693725,n03788365,n03776460
n03792782,n03866082,n03670208
n02105251,n02408429,n04523525
n03207941,n01770081,n10148035
n02894605,n04065272,n04596742
n04041544,n03272010,n04346328
n02321529,n04399382,n02794156
n03891251,n03633091,n04311174
n03773504,n01494475,n03297495
n03982430,n04350905,n01685808
n01773797,n01945685,n03388043
n02988304,n02111889,n02110341
n03814639,n04507155,n02114855
n01807496,n01697457,n04041544
n01532829,n02412080,n03876231
n02102177,n02111889,n02012849
n03743016,n03594734,n04204347
n02325366,n03045698,n02087046
n03126707,n02093428,n02113023
n04367480,n03977966,n02012849
n02793495,n03599486,n01558993
n02791124,n02782093,n03764736
n04328186,n04254120,n02802426
n03345487,n02276258,n02113799
n02128385,n04372370,n04239074
n02169497,n02815834,n09332890
n02871525,n02992211,n03447721
n02815834,n04398044,n02012849
n02231487,n02395406,n02088466
n09229709,n03868242,n04486054
n03706229,n02168699,n02096437
n03372029,n01984695,n01601694
n04252077,n03891332,n02825657
n03733281,n03781244,n02102318
n02090622,n02090379,n03388549
n03272010,n01984695,n03877845
n03924679,n02782093,n02326432
n03220513,n02948072,n01855672
n03089624,n01984695,n02113978
n01614925,n02325366,n04486054
n04141975,n01698640,n01855672
n07583066,n03594734,n03661043
n03133878,n01955084,n03197337
n03188531,n02837789,n03095699
n02110063,n10565667,n01582220
n07720875,n07753113,n01797886
n02172182,n03977966,n04239074
n11879895,n02980441,n02869837
n04039381,n02948072,n02229544
n04447861,n02441942,n03709823
n02790996,n04483307,n04049303
n03527444,n12144580,n04476259
n02276258,n03372029,n09288635
n03496892,n02835271,n02168699
n04592741,n13133613,n02088466
n02980441,n02910353,n02708093
n04099969,n07590611,n02708093
n02481823,n02422106,n02033041
n02939185,n04146614,n02012849
n03692522,n03045698,n03777568
n02835271,n02910353,n02799071
n02128385,n02100583,n04347754
n03617480,n03710721,n03733281
n03207941,n02966687,n04532670
n02328150,n01496331,n01797886
n13037406,n02776631,n02441942
n02488702,n01873310,n09468604
n03250847,n02536864,n02086910
n02037110,n03759954,n04263257
n01847000,n04336792,n04266014
n04154565,n02108089,n07715103
n02102177,n02111889,n04579432
n02488702,n02325366,n09468604
n04596742,n07892512,n03637318
n02101388,n01945685,n02708093
n03761084,n02808440,n02088094
n02672831,n02963159,n02167151
n01797886,n03617480,n02231487
n01665541,n02454379,n11879895
n03935335,n02093428,n04604644
n03980874,n07730033,n02859443
n02165456,n02011460,n03792972
n02776631,n03325584,n04239074
n02281787,n02484975,n04118776
n03075370,n03131574,n06596364
n01776313,n03529860,n04147183
n02977058,n03710193,n02097474
n01728920,n07693725,n03838899
n03733281,n03976467,n02113624
n03781244,n02403003,n02606052
n01968897,n03924679,n02105641
n03891251,n04254777,n03272562
n03590841,n04252225,n02229544
n03345487,n03424325,n01531178
n03743016,n01601694,n02454379
n03482405,n01873310,n03877472
n02492035,n03775071,n02640242
n01773549,n04070727,n07613480
n04162706,n03131574,n03720891
n02089867,n01860187,n03388183
n03201208,n03874599,n02138441
n02097209,n02099267,n02666196
n03792782,n03535780,n02870880
n03840681,n07920052,n03535780
n02326432,n02493793,n02098105
n03792972,n02843684,n04417672
n02804414,n07716906,n01558993
n03970156,n04536866,n02093647
n03935335,n03710637,n02666196
n13054560,n03291819,n03721384
n03950228,n04254777,n07753275
n02999410,n02090379,n03776460
n03697007,n02869837,n02087046
n01532829,n02268443,n04069434
n01616318,n02692877,n06794110
n02114367,n07860988,n02361337
n04458633,n01664065,n02027492
n03956157,n02840245,n01534433
n04456115,n02489166,n03187595
n02087394,n02119022,n03417042
n01739381,n01494475,n02666196
n04409515,n02790996,n03983396
n02113978,n02112137,n03457902
n02231487,n01496331,n03032252
n01820546,n02098105,n02110806
n04428191,n02123597,n02326432
n02795169,n01968897,n01807496
n02410509,n02071294,n02097474
n04311004,n04612504,n09332890
n03920288,n03666591,n02361337
n02389026,n03045698,n03733281
n03197337,n02109961,n03393912
n02108422,n03902125,n02423022
n03938244,n03891251,n03026506
n02102318,n02091032,n13052670
n03837869,n01695060,n03649909
n02281787,n03047690,n02264363
n01753488,n02096051,n02840245
n03690938,n03047690,n04296562
n02085936,n02107142,n04147183
n03891251,n03840681,n04252225
n03461385,n02007558,n03297495
n01729322,n03666591,n04049303
n07716358,n07613480,n04147183
n02109961,n03970156,n04592741
n02328150,n04517823,n07248320
n03998194,n01622779,n02113978
n03345487,n02860847,n02089973
n01682714,n02102177,n02916936
n07760859,n02325366,n04599235
n04311004,n04311174,n04277352
n01943899,n04005630,n03903868
n02791124,n07768694,n03347037
n02415577,n02097298,n03445777
n03534580,n02488291,n02229544
n02099601,n01592084,n03447447
n03942813,n02090622,n03000134
n04040759,n03874599,n01558993
n03131574,n01737021,n02666196
n02110627,n02403003,n04147183
n04273569,n02108551,n04487081
n04127249,n04285008,n02097209
n03018349,n02107142,n02825657
n03804744,n04238763,n02056570
n02098105,n04507155,n07753275
n02999410,n02090379,n04004767
n01641577,n03529860,n02917067
n03709823,n04325704,n06874185
n04355338,n02910353,n02087046
n04116512,n03255030,n02113799
n02112706,n02669723,n03485794
n01806143,n07697537,n02437616
n03498962,n04252225,n04008634
n02011460,n07747607,n03207941
n03832673,n01945685,n01983481
n02104365,n02097298,n03388549
n04417672,n02894605,n03938244
n02489166,n04458633,n03916031
n03126707,n07714990,n03814639
n02099712,n03100240,n02917067
n02058221,n01807496,n02708093
n02099267,n02102973,n04263257
n03538406,n01914609,n06785654
n03770439,n02066245,n02859443
n07615774,n02091134,n03445777
n03124170,n02071294,n03014705
n04009552,n02115913,n03697007
n03796401,n01806567,n01531178
n03496892,n04376876,n02825657
n02108000,n01518878,n03063689
n03197337,n02129165,n03063599
n02097658,n02837789,n01797886
n13040303,n03814639,n04136333
n03781244,n03895866,n02606052
n04599235,n02100236,n03527444
n02089973,n03476991,n04049303
n04252225,n01773549,n04049303
n02492660,n04485082,n03290653
n03868242,n09229709,n04599235
n04251144,n01631663,n04417672
n02110958,n02087394,n04604644
n03742115,n04493381,n02883205
n01749939,n01985128,n03661043
n03637318,n07760859,n02088632
n02099429,n02123159,n03297495
n03673027,n02727426,n01514668
n02099601,n04376876,n02883205
n03908618,n02860847,n02095314
n01860187,n02110063,n03661043
n03042490,n02321529,n09421951
n02090379,n04501370,n09428293
n04239074,n02965783,n03617480
n02123159,n01608432,n09428293
n06874185,n02328150,n02120079
n02088238,n03379051,n04592741
n03717622,n04201297,n03947888
n01833805,n02091467,n04285008
n02493509,n02730930,n03062245
n02092339,n04370456,n02115641
n04019541,n02009912,n09288635
n03877472,n02177972,n04335435
n04090263,n04461696,n03782006
n02892767,n03379051,n02097474
n02102318,n01981276,n09332890
n02356798,n02410509,n06794110
n02094114,n02643566,n03903868
n03494278,n02088632,n03109150
n02229544,n02091467,n07754684
n02328150,n03045698,n02086910
n04355933,n02488702,n02096294
n03967562,n02869837,n04033901
n02107312,n02107908,n04264628
n04254120,n01735189,n03216828
n04392985,n03627232,n03216828
n03425413,n01943899,n07753275
n02492035,n02804610,n03794056
n02437312,n04099969,n02437616
n01882714,n02113799,n04033995
n02799071,n01530575,n02128385
n03908714,n01729977,n04366367
n04485082,n04200800,n02100735
n04201297,n01698640,n03992509
n01491361,n02423022,n04429376
n07716358,n01756291,n02823428
n02486410,n02102973,n04486054
n02415577,n02412080,n07718747
n02116738,n03623198,n04442312
n03602883,n03459775,n03782006
n03891332,n02018795,n03982430
n02894605,n04149813,n02119022
n02776631,n02107142,n04259630
n02123394,n02504013,n04264628
n02319095,n03992509,n02256656
n01692333,n04553703,n02105251
n02093991,n03045698,n04209133
n09256479,n03977966,n02167151
n02840245,n02825657,n02013706
n06785654,n03459775,n02236044
n02112706,n04532106,n03657121
n02174001,n02085620,n04507155
n02137549,n02113978,n04366367
n02749479,n01665541,n04606251
n02093859,n04517823,n02342885
n07565083,n01944390,n03814639
n04589890,n03991062,n04263257
n09472597,n04326547,n02116738
n03706229,n04264628,n02129165
n02823428,n07753592,n02113186
n07697537,n02877765,n02655020
n01855672,n02095570,n03216828
n03485407,n02988304,n02106382
n12057211,n03481172,n02106030
n04442312,n02791270,n02092002
n02840245,n07760859,n02106550
n02107908,n02093754,n02870880
n02536864,n03599486,n03877472
n01632458,n02361337,n03201208
n02106030,n02437616,n03733805
n07248320,n03240683,n04366367
n04347754,n03706229,n02096585
n02109047,n02096051,n04286575
n03085013,n04355338,n02106382
n04023962,n01669191,n04443257
n02093428,n02101388,n04326547
n02113023,n04037443,n02606052
n04493381,n03691459,n03729826
n02965783,n02443484,n01667778
n04081281,n02104365,n07248320
n04346328,n12768682,n03938244
n12057211,n07932039,n01820546
n02445715,n07860988,n02963159
n03929855,n02111129,n02093647
n02117135,n02102177,n02489166
n01664065,n04458633,n01558993
n01773157,n13052670,n02493793
n04131690,n04344873,n03991062
n07754684,n04235860,n03085013
n04228054,n04372370,n02892201
n02841315,n12998815,n03223299
n15075141,n02018795,n02917067
n02037110,n02085782,n03347037
n02113978,n02088466,n04560804
n02483708,n03710721,n09332890
n03000684,n02951358,n02190166
n03590841,n04252225,n03594945
n02088466,n02085782,n02971356
n03259280,n02097658,n02489166
n03899768,n04229816,n13133613
n03590841,n01955084,n03895866
n04146614,n02096294,n03775071
n02137549,n02504458,n07873807
n04099969,n07693725,n04141327
n02607072,n04070727,n03770679
n07768694,n03047690,n02087046
n02124075,n03394916,n04326547
n04070727,n03127747,n02493793
n04125021,n01695060,n02120505
n01978287,n12768682,n01855672
n04263257,n07590611,n03249569
n02138441,n02497673,n04613696
n01735189,n02403003,n03733805
n03188531,n01784675,n09332890
n02123597,n04296562,n03991062
n04033901,n02356798,n02860847
n07579787,n03379051,n03201208
n01629819,n01729977,n02916936
n04141975,n03944341,n04467665
n03773504,n03240683,n04141975
n03627232,n02007558,n07753275
n03417042,n03991062,n03666591
n04418357,n02105412,n01667778
n03188531,n01693334,n03133878
n02441942,n01980166,n03903868
n02403003,n03710637,n07753275
n04118538,n03992509,n03393912
n01641577,n02138441,n03877845
n06785654,n03888605,n03445777
n01774750,n01944390,n03447447
n02105641,n02100877,n01797886
n02398521,n02090721,n03272562
n01986214,n02259212,n09428293
n01558993,n03874293,n03991062
n03141823,n06596364,n04435653
n02804414,n01729977,n03956157
n02814533,n02692877,n04152593
n02326432,n09472597,n03991062
n03085013,n04461696,n02859443
n03445777,n04606251,n02486261
n02325366,n02879718,n04069434
n04606251,n02115641,n03902125
n02795169,n04009552,n07718747
n02487347,n03045698,n03670208
n02105412,n01877812,n02749479
n02500267,n02094258,n03661043
n04026417,n01667114,n04380533
n02783161,n02321529,n03642806
n02268443,n01675722,n03590841
n07745940,n02804414,n03733805
n02280649,n01518878,n04443257
n01537544,n04228054,n02268443
n02277742,n04372370,n04443257
n03467068,n02231487,n02037110
n02840245,n04398044,n03916031
n02102040,n02423022,n02840245
n04525038,n02643566,n09428293
n07717410,n07768694,n02749479
n01774750,n03089624,n03425413
n01742172,n02074367,n04285008
n02233338,n03676483,n04380533
n04584207,n02106166,n03775546
n03026506,n02526121,n04532670
n01775062,n01773549,n11879895
n02086240,n02787622,n01682714
n03544143,n02488702,n03930313
n01776313,n04376876,n02917067
n01829413,n07734744,n03197337
n02091134,n01871265,n03832673
n02086240,n02085782,n03838899
n02104029,n02441942,n04049303
n02971356,n01756291,n02095570
n03485407,n03476684,n03764736
n04019541,n02487347,n02526121
n03444034,n03868242,n04505470
n03691459,n04023962,n02114855
n03160309,n03788365,n02391049
n01930112,n02102973,n03014705
n02233338,n12768682,n02085936
n03770679,n02111500,n01531178
n04418357,n01687978,n04273569
n02051845,n01950731,n02788148
n07753275,n01531178,n04344873
n02190166,n03814639,n02699494
n12057211,n02165105,n03877845
n02483362,n03325584,n02363005
n02782093,n03045698,n02086910
n02834397,n02835271,n03967562
n02114548,n02510455,n04435653
n02094433,n02100236,n04131690
n02099429,n02108422,n03297495
n03868863,n01978287,n04317175
n02526121,n03220513,n02129165
n01855672,n03424325,n03110669
n02927161,n02486261,n03109150
n03814906,n03837869,n03873416
n02871525,n04501370,n01631663
n02132136,n01770393,n04371430
n03933933,n03888257,n01883070
n04296562,n04350905,n02892201
n09229709,n01910747,n02883205
n02870880,n01872401,n01558993
n02113799,n02094433,n04041544
n02119022,n02441942,n04204238
n07614500,n07584110,n04417672
n04252077,n03127747,n03761084
n04371774,n03627232,n02105251
n01833805,n03447721,n02129165
n03584829,n02169497,n03743016
n03290653,n02009912,n02013706
n02110341,n02114855,n01537544
n02098105,n01873310,n04239074
n02342885,n01775062,n02002724
n02074367,n02892767,n01828970
n01443537,n03476991,n04008634
n03447447,n04326547,n02268853
n03967562,n03803284,n02264363
n01685808,n03874599,n01558993
n03481172,n02113186,n02917067
n01728920,n02090379,n02106382
n01494475,n02113624,n03930313
n04462240,n07871810,n02747177
n02093256,n02268443,n04604644
n03063599,n03384352,n04243546
n03825788,n03691459,n04136333
n03916031,n02097658,n02980441
n02980441,n12985857,n04505470
n04347754,n03929660,n02730930
n02056570,n01682714,n03594945
n02699494,n03871628,n04604644
n02108089,n04141076,n04147183
n07880968,n02231487,n04604644
n03314780,n02112137,n03670208
n04417672,n02177972,n02441942
n02011460,n03017168,n03661043
n02342885,n03000684,n04131690
n03929660,n03992509,n02113186
n02102973,n03868863,n01558993
n02105251,n04560804,n02825657
n03998194,n03100240,n02138441
n02123045,n02097209,n03776460
n03770439,n02410509,n03637318
n02093754,n02134084,n04505470
n02236044,n13054560,n04317175
n02094258,n02089867,n01582220
n02669723,n01735189,n03670208
n01560419,n01751748,n01514668
n10148035,n02125311,n04487081
n01770081,n02206856,n04599235
n03935335,n01910747,n07248320
n02056570,n03452741,n02100236
n02105251,n04355338,n04442312
n02130308,n02859443,n04550184
n04265275,n02256656,n04482393
n02843684,n01740131,n02859443
n02107312,n02106550,n07697313
n01833805,n03259280,n02114855
n07768694,n01945685,n02492035
n04209133,n03026506,n03062245
n02093754,n02111500,n02091635
n03814906,n04192698,n03873416
n02894605,n03976467,n04004767
n02490219,n02101388,n01795545
n01955084,n07697537,n03770679
n03970156,n02992529,n03720891
n02109525,n03724870,n04239074
n02454379,n02101388,n03720891
n02107908,n02091467,n03876231
n04004767,n04192698,n03888257
n03891332,n02107908,n02097209
n03208938,n03379051,n04476259
n02088238,n02111889,n02120079
n07860988,n02992529,n03770679
n07714990,n03929660,n02129165
n02481823,n03884397,n03345487
n01753488,n02325366,n02870880
n03676483,n01930112,n02110806
n12998815,n02325366,n02493793
n07930864,n02100735,n04067472
n01768244,n03947888,n03598930
n02011460,n04039381,n02113023
n04380533,n04254120,n01980166
n02108551,n10148035,n02708093
n04507155,n03724870,n04505470
n01728920,n03379051,n03584254
n02730930,n11939491,n01843065
n03447447,n02883205,n01704323
n01644373,n03372029,n03208938
n02098105,n02123597,n04239074
n03837869,n03445924,n07579787
n02098286,n02536864,n02883205
n02607072,n02487347,n04493381
n03400231,n02086079,n02096437
n01883070,n03710637,n03933933
n03532672,n04067472,n02364673
n01980166,n02837789,n03720891
n02231487,n01644900,n03447447
n01978287,n03089624,n04118776
n03995372,n02910353,n01558993
n03956157,n04133789,n01601694
n03627232,n01774384,n01797886
n02493509,n02091831,n03126707
n04550184,n03089624,n03670208
n03124043,n01494475,n04081281
n02009229,n02102480,n02096437
n04310018,n01496331,n04486054
n02097298,n02093754,n03854065
n01692333,n04532106,n03877845
n02113624,n04479046,n04008634
n01873310,n03891251,n03983396
n02123045,n03935335,n02883205
n04552348,n02514041,n02025239
n02837789,n01984695,n02097474
n07684084,n03042490,n04033995
n01496331,n03633091,n01797886
n02105412,n02124075,n03197337
n03388549,n03498962,n02093256
n12768682,n01910747,n03485407
n03841143,n02346627,n02114855
n02095889,n03814639,n03764736
n02909870,n01560419,n02098105
n01631663,n02112137,n03733805
n04162706,n04517823,n04286575
n03804744,n02643566,n02437312
n02747177,n01644373,n04208210
n03902125,n09421951,n04465501
n07615774,n03843555,n03884397
n02777292,n10565667,n01558993
n04612504,n09229709,n02389026
n03075370,n02607072,n02097209
n03938244,n03127747,n02494079
n02259212,n01980166,n02389026
n02106166,n03888257,n04435653
n03461385,n03478589,n01755581
n04483307,n02091244,n02099429
n09256479,n10148035,n04311174
n03272562,n04442312,n01797886
n01484850,n03733131,n03657121
n01829413,n02437312,n13133613
n01498041,n04251144,n02950826
n03902125,n03769881,n02494079
n03467068,n02328150,n02056570
n02169497,n04152593,n03110669
n01978287,n03089624,n04037443
n02097658,n02412080,n09332890
n03673027,n01687978,n02114548
n03908714,n01695060,n04435653
n13052670,n04532106,n03393912
n04350905,n04399382,n04604644
n02783161,n04447861,n03777568
n02128757,n02487347,n03388549
n01873310,n04228054,n02117135
n01773549,n03633091,n02963159
n02117135,n02086646,n02009912
n03976657,n01873310,n02120079
n02948072,n04522168,n02120079
n04200800,n03445924,n02091635
n04409515,n02007558,n09468604
n01531178,n02086910,n02120079
n04131690,n03666591,n09332890
n04125021,n01984695,n02096437
n07749582,n02328150,n01484850
n03445777,n04612504,n02089973
n03837869,n03127747,n01847000
n04235860,n07754684,n01843065
n02090379,n02090721,n02100236
n07920052,n13052670,n01820546
n09246464,n12144580,n02088466
n04552348,n03041632,n04332243
n01882714,n04208210,n09332890
n04550184,n02690373,n02104029
n02115913,n04540053,n03877845
n02403003,n01873310,n03661043
n02120505,n03476991,n03983396
n02268443,n02536864,n03223299
n03825788,n04370456,n01582220
n04275548,n03891332,n01531178
n03888257,n04229816,n02091635
n03857828,n03485794,n02480855
n01664065,n07760859,n03916031
n02490219,n01986214,n04141327
n02115913,n02395406,n04435653
n02013706,n04152593,n02074367
n02948072,n01592084,n03733805
n04310018,n02106662,n04153751
n02447366,n04200800,n02033041
n02090379,n02488702,n09246464
n02277742,n04350905,n01797886
n04447861,n04136333,n02190166
n04204347,n07684084,n02093647
n04090263,n04461696,n02097298
n07831146,n02088364,n02927161
n03710721,n02808304,n03983396
n01986214,n04355933,n04589890
n01608432,n02123159,n04332243
n10148035,n02125311,n04487081
n02783161,n02277742,n03642806
n02086910,n01806567,n02791270
n03954731,n03314780,n02105412
n02106550,n02092339,n03388043
n03916031,n04141076,n02790996
n03594945,n04540053,n04265275
n03124170,n02488291,n03877845
n03633091,n01669191,n03642806
n02107574,n03868242,n03958227
n04380533,n01819313,n03642806
n04204238,n07697313,n02091467
n02219486,n01728920,n02190166
n02085936,n03045698,n03956157
n02124075,n02094433,n03661043
n02101006,n02730930,n04435653
n02319095,n01873310,n03018349
n02259212,n01986214,n02966687
n01682714,n02087394,n04270147
n01824575,n02892767,n02229544
n02123394,n02951358,n03874293
n04428191,n03220513,n03291819
n01917289,n02011460,n07802026
n03843555,n04208210,n07753275
n07717556,n02536864,n02123394
n02102480,n02071294,n04486054
n02808304,n01729977,n03657121
n03443371,n03445924,n03877845
n03895866,n01665541,n02167151
n07718747,n02077923,n02802426
n03983396,n03127747,n02112018
n02641379,n01704323,n03201208
n02730930,n03483316,n02917067
n02110341,n02325366,n04591713
n07583066,n01729977,n04259630
n07717556,n01667778,n03297495
n04252225,n07715103,n03630383
n02106030,n02791124,n03447447
n02690373,n01739381,n02091635
n02086646,n01984695,n04548280
n02107683,n02808304,n07753275
n07717556,n03394916,n02795169
n02417914,n01494475,n01806143
n02342885,n04141076,n03776460
n03717622,n01775062,n02412080
n01784675,n02510455,n06794110
n02317335,n02090379,n02085620
n02097130,n03908714,n03982430
n03709823,n02641379,n02165456
n03977966,n07873807,n03344393
n01843065,n02110958,n02114855
n02927161,n02971356,n02091635
n13044778,n03891332,n04286575
n03207941,n02894605,n01491361
n03602883,n03249569,n01847000
n03127747,n03125729,n04562935
n02974003,n03496892,n07695742
n12768682,n03868863,n04486054
n07718747,n02999410,n04604644
n03866082,n01756291,n02074367
n07720875,n02096437,n03216828
n04252225,n07753592,n02123045
n02099267,n02115913,n04259630
n07730033,n04522168,n02492035
n02130308,n04501370,n04141327
n02002556,n02110627,n02687172
n04209239,n13044778,n02840245
n02808304,n01729977,n07717410
n03124043,n02445715,n02883205
n04067472,n01945685,n02095570
n04263257,n07718747,n02708093
n04116512,n02869837,n04118538
n03450230,n02109047,n02281406
n04371774,n01914609,n03297495
