anchor_cat,positive_cat,negative_cat
n01641577,n02093647,n04487081
n03956157,n09472597,n01798484
n03016953,n01914609,n04277352
n02978881,n01910747,n02786058
n02102318,n03935335,n04443257
n02777292,n04228054,n01531178
n03787032,n02877765,n02097474
n03868863,n04149813,n09332890
n02791124,n03803284,n03535780
n03764736,n04074963,n03584829
n06874185,n02927161,n02128925
n02504013,n03788365,n02097047
n01924916,n03598930,n01734418
n03775546,n01644900,n02108551
n03770439,n10148035,n02033041
n03956157,n02965783,n02747177
n02277742,n04118776,n02168699
n03721384,n06785654,n03345487
n04067472,n03633091,n04033995
n01943899,n04483307,n02504458
n04067472,n03633091,n02437616
n02009912,n07745940,n02264363
n02106550,n02226429,n03769881
n02100583,n02356798,n03938244
n02481823,n01796340,n02033041
n02165105,n03532672,n04487081
n02095570,n02090622,n02097298
n02002556,n04392985,n04254680
n02092002,n03938244,n07930864
n03709823,n02110185,n02112706
n02099712,n04131690,n04347754
n01496331,n04540053,n01537544
n03141823,n02088466,n02219486
n02112137,n03680355,n04487081
n04325704,n01729977,n02097474
n04487081,n03630383,n03535780
n04483307,n03016953,n02119022
n02927161,n03089624,n02027492
n02930766,n04505470,n01641577
n03666591,n03627232,n03445777
n01641577,n02109525,n03857828
n04152593,n03179701,n07836838
n02481823,n02640242,n02114855
n03075370,n01985128,n03494278
n04149813,n03599486,n03950228
n02870880,n07697537,n02097047
n01943899,n01498041,n01616318
n07730033,n01914609,n02264363
n02128925,n07742313,n04037443
n02795169,n04200800,n04074963
n02108000,n02342885,n03661043
n02007558,n02113186,n02268853
n02092339,n07614500,n02687172
n04366367,n07749582,n02088466
n01872401,n01910747,n11879895
n02992211,n04099969,n01797886
n03717622,n02799071,n02655020
n07745940,n01770081,n04258138
n02930766,n04152593,n04335435
n02127052,n02437312,n02114712
n04591157,n01695060,n03887697
n07613480,n11939491,n01797886
n03443371,n02105412,n02814533
n02107908,n02799071,n03661043
n04346328,n04141076,n02027492
n03857828,n02782093,n02100583
n02096585,n01773157,n01955084
n01532829,n02489166,n03877472
n02128757,n04522168,n01770081
n03141823,n01983481,n04380533
n03201208,n02988304,n02130308
n02879718,n03124043,n01797886
n02123045,n02510455,n11879895
n04418357,n02966193,n02119789
n02113624,n02102177,n04505470
n03690938,n01774384,n01692333
n04008634,n02749479,n03832673
n02077923,n03854065,n03482405
n04149813,n02895154,n01558993
n02814533,n03787032,n02090622
n03930313,n04485082,n02117135
n04458633,n01735189,n04542943
n01855032,n03888605,n02091635
n04285008,n03884397,n02114712
n02817516,n02100236,n03388549
n02877765,n07248320,n03594945
n01631663,n02107908,n03887697
n03938244,n12267677,n02025239
n03777754,n03000684,n02791270
n03290653,n03291819,n03814639
n03450230,n02992211,n03207743
n07693725,n01728920,n03887697
n03792782,n01695060,n02097209
n02105251,n01665541,n01818515
n03207941,n04252225,n04590129
n02894605,n03042490,n02091635
n04041544,n03595614,n02486261
n02321529,n02028035,n03670208
n03891251,n04540053,n03832673
n03773504,n01494475,n02091635
n03982430,n01496331,n03720891
n01773797,n04200800,n01685808
n02988304,n01695060,n03775071
n03814639,n01955084,n04039381
n01807496,n07716358,n04258138
n01532829,n07760859,n04548362
n02102177,n04192698,n02097474
n03743016,n02606052,n03347037
n02325366,n02879718,n01443537
n03126707,n02093428,n03481172
n04367480,n03124170,n02093256
n02793495,n03125729,n03814639
n02791124,n01695060,n01749939
n04328186,n01491361,n01558993
n03345487,n03529860,n02988304
n02128385,n02107574,n02823428
n02169497,n01644900,n04443257
n02871525,n01693334,n02895154
n02815834,n03131574,n02114712
n02231487,n03372029,n03065424
n09229709,n03868242,n04487081
n03706229,n07717556,n04476259
n03372029,n01914609,n02105855
n04252077,n02992211,n01558993
n03733281,n04328186,n02114855
n02090622,n02094258,n01775062
n03272010,n02112137,n03532672
n03924679,n03594734,n02326432
n03220513,n01914609,n11879895
n03089624,n04310018,n02840245
n01614925,n04141076,n04069434
n04141975,n03372029,n07753275
n07583066,n02110185,n04548280
n03133878,n03792972,n02099601
n03188531,n03443371,n04442312
n02110063,n02099601,n02977058
n07720875,n04371430,n02085936
n02172182,n01631663,n04417672
n11879895,n03908618,n02168699
n04039381,n03874599,n04418357
n04447861,n03947888,n02095889
n02790996,n03594945,n02129604
n03527444,n02484975,n03967562
n02276258,n07860988,n01847000
n03496892,n04461696,n02120079
n04592741,n01669191,n02105641
n02980441,n13054560,n01675722
n04099969,n02814860,n03950228
n02481823,n02105505,n02892201
n02939185,n07590611,n03584254
n03692522,n04149813,n02233338
n02835271,n13054560,n04548362
n02128385,n07753113,n03201208
n03617480,n03590841,n09332890
n03207941,n01770081,n02099267
n02328150,n02090379,n01797886
n13037406,n03710637,n07930864
n02488702,n02607072,n03983396
n03250847,n03544143,n04423845
n02037110,n02787622,n04273569
n01847000,n02099712,n04239074
n04154565,n04086273,n03792972
n02102177,n04192698,n02090622
n02488702,n01877812,n03983396
n04596742,n04133789,n02009912
n02101388,n02892201,n01629819
n03761084,n03691459,n03642806
n02672831,n04462240,n04330267
n01797886,n02190166,n02699494
n01665541,n01532829,n02088094
n03935335,n01855032,n04613696
n03980874,n02105412,n03884397
n02165456,n01978455,n01774384
n02776631,n02090379,n07579787
n02281787,n02088632,n02895154
n03075370,n02607072,n02087394
n01776313,n03445924,n04505470
n02977058,n01924916,n04270147
n01728920,n04141076,n02124075
n03733281,n02788148,n01484850
n03781244,n07730033,n02056570
n01968897,n03424325,n02100877
n03891251,n01873310,n02606052
n03590841,n02109961,n02229544
n03345487,n03481172,n02504013
n03743016,n01770393,n04263257
n03482405,n01873310,n02097209
n02492035,n01692333,n06359193
n01773549,n01774384,n03877845
n04162706,n04325704,n01797886
n02089867,n02025239,n03720891
n03201208,n07693725,n02099429
n02097209,n02099601,n04335435
n03792782,n02091134,n02093256
n03840681,n04517823,n03903868
n02326432,n03018349,n02111889
n03792972,n03781244,n04154565
n02804414,n01742172,n03877472
n03970156,n04367480,n01694178
n03935335,n04033901,n02114367
n13054560,n02346627,n03710193
n03950228,n01601694,n02640242
n02999410,n03196217,n03527444
n03697007,n07590611,n02128925
n01532829,n02835271,n04418357
n01616318,n04487394,n03961711
n02114367,n03888257,n04428191
n04458633,n02640242,n02326432
n03956157,n02437312,n03814639
n04456115,n07720875,n09288635
n02087394,n02113624,n04461696
n01739381,n02077923,n04552348
n04409515,n03599486,n03207941
n02113978,n02113624,n12768682
n02231487,n01728920,n02167151
n01820546,n04153751,n02085620
n04428191,n02526121,n02442845
n02795169,n07248320,n02894605
n02410509,n04522168,n02814533
n04311004,n03180011,n01616318
n03920288,n02317335,n02101388
n02389026,n01518878,n04127249
n03197337,n03933933,n02091635
n02108422,n02749479,n02871525
n03938244,n02607072,n02444819
n02102318,n02087046,n03297495
n03837869,n02317335,n07717410
n02281787,n03832673,n02747177
n01753488,n04540053,n03216828
n03690938,n03888605,n09288635
n02085936,n02086079,n01751748
n03891251,n04254777,n02137549
n03461385,n09468604,n04517823
n01729322,n02123597,n02894605
n07716358,n01496331,n01614925
n02109961,n02091032,n09193705
n02328150,n01773157,n04604644
n03998194,n02231487,n02033041
n03345487,n03379051,n02870880
n01682714,n01955084,n03781244
n07760859,n01532829,n04418357
n04311004,n07760859,n02096585
n01943899,n04005630,n03483316
n02791124,n02090379,n02667093
n02415577,n02442845,n01855672
n03534580,n01855032,n02092339
n02099601,n01914609,n04367480
n03942813,n02841315,n01828970
n04040759,n03673027,n01558993
n03131574,n03874599,n02119789
n02110627,n02110185,n04201297
n04273569,n02403003,n02113978
n04127249,n02132136,n03134739
n03018349,n04149813,n04548280
n03804744,n02869837,n02443484
n02098105,n04127249,n04525305
n02999410,n03196217,n03110669
n01641577,n02396427,n04204347
n03709823,n02641379,n01698640
n04355338,n04557648,n04069434
n04116512,n02794156,n03085013
n02112706,n02219486,n03947888
n01806143,n02088238,n04371430
n03498962,n03742115,n03657121
n02011460,n02488291,n03776460
n03832673,n04429376,n01558993
n02104365,n01622779,n03991062
n04417672,n04550184,n04251144
n02489166,n02978881,n02256656
n03126707,n03127747,n02097474
n02099712,n02091244,n04153751
n02058221,n01751748,n09332890
n02099267,n02113624,n03933933
n03538406,n02483708,n01534433
n03770439,n04229816,n09332890
n07615774,n02837789,n03877845
n03124170,n02231487,n03014705
n04009552,n02111500,n04380533
n03796401,n02776631,n02033041
n03496892,n04376876,n04008634
n02108000,n03724870,n03933933
n03197337,n03259280,n04204238
n02097658,n02006656,n03014705
n13040303,n03459775,n04131690
n03781244,n03042490,n02056570
n04599235,n03623198,n02138441
n02089973,n03773504,n02281406
n04252225,n04204238,n03467068
n02492660,n07880968,n03838899
n03868242,n12985857,n02110341
n04251144,n02860847,n02033041
n02110958,n03255030,n03075370
n03742115,n01740131,n02389026
n01749939,n02165105,n02113023
n03637318,n03100240,n03223299
n02099429,n02107312,n02747177
n03673027,n04040759,n02099429
n02099601,n04399382,n04317175
n03908618,n03201208,n02802426
n01860187,n04330267,n02172182
n03042490,n03633091,n02277742
n02090379,n03837869,n04049303
n04239074,n04389033,n02027492
n02123159,n01689811,n09428293
n06874185,n03467068,n02102318
n02088238,n04336792,n03785016
n03717622,n01729977,n02229544
n01833805,n01871265,n02783161
n02493509,n02843684,n03208938
n02092339,n02100735,n04311004
n04019541,n01601694,n02777292
n03877472,n04404412,n02823428
n04090263,n04311174,n04548280
n02892767,n02093859,n02113978
n02102318,n02447366,n03630383
n02356798,n01914609,n04127249
n02094114,n02108000,n03670208
n03494278,n13037406,n03775546
n02229544,n03478589,n02106382
n02328150,n03840681,n03388549
n04355933,n02454379,n01828970
n03967562,n03146219,n04557648
n02107312,n02168699,n04004767
n04254120,n04023962,n01614925
n04392985,n04149813,n01776313
n03425413,n02037110,n02085620
n02492035,n03868863,n03014705
n02437312,n04266014,n02033041
n01882714,n01631663,n02165456
n02799071,n01770393,n09468604
n03908714,n01695060,n02096437
n04485082,n02971356,n01855672
n04201297,n04612504,n02096585
n01491361,n03874599,n09428293
n07716358,n03623198,n02102040
n02486410,n10148035,n03903868
n02415577,n02123159,n02033041
n02116738,n03888605,n03216828
n03602883,n04550184,n02226429
n03891332,n03769881,n04532670
n02894605,n04005630,n02106030
n02776631,n03220513,n01768244
n02123394,n02125311,n03208938
n02319095,n03124170,n03776460
n01692333,n03838899,n04147183
n02093991,n01796340,n02939185
n09256479,n04548362,n04235860
n02840245,n07873807,n01667778
n06785654,n03594945,n01828970
n02112706,n03763968,n02840245
n02174001,n07717410,n04162706
n02137549,n02095314,n03733805
n02749479,n02843684,n03272562
n02093859,n03529860,n02002556
n07565083,n01986214,n09332890
n04589890,n04086273,n02667093
n09472597,n04228054,n02342885
n03706229,n02951585,n02871525
n02823428,n04517823,n02086910
n07697537,n04099969,n02097047
n01855672,n02114367,n02099712
n03485407,n02988304,n01531178
n12057211,n02607072,n03777568
n04442312,n02708093,n02095314
n02840245,n01737021,n02112350
n02107908,n04251144,n02939185
n02536864,n07730033,n03344393
n01632458,n02317335,n02397096
n02106030,n02099601,n03642806
n07248320,n02098286,n04380533
n04347754,n02484975,n15075141
n02109047,n02096051,n03095699
n03085013,n04501370,n03450230
n04023962,n02536864,n01614925
n02093428,n04141076,n02782093
n02113023,n02096177,n02917067
n04493381,n02769748,n04429376
n02965783,n03785016,n01847000
n04081281,n04264628,n02093991
n04346328,n02091032,n04041544
n12057211,n02892767,n02056570
n02445715,n01498041,n02097474
n03929855,n02093754,n12144580
n02117135,n02102318,n02091635
n01664065,n02105505,n02892201
n01773157,n03770439,n04366367
n04131690,n03666591,n02457408
n07754684,n09246464,n02091635
n04228054,n04579145,n02106550
n02841315,n03977966,n02123045
n15075141,n01773157,n04590129
n02037110,n03459775,n03388183
n02113978,n02094258,n02219486
n02483708,n03884397,n02102480
n03000684,n09246464,n02091467
n03590841,n02109961,n02840245
n02088466,n07717410,n04120489
n03259280,n03627232,n03223299
n03899768,n04548362,n01847000
n03590841,n07716906,n01855672
n04146614,n03627232,n02783161
n02137549,n02011460,n04131690
n04099969,n02879718,n03014705
n02607072,n02815834,n02091635
n07768694,n02607072,n03223299
n02124075,n01664065,n04263257
n04070727,n04141076,n02018795
n04125021,n03874293,n02120505
n01978287,n03047690,n03935335
n04263257,n04179913,n02111277
n02138441,n02108422,n03998194
n01735189,n03627232,n01755581
n03188531,n03314780,n04347754
n02123597,n02804610,n01682714
n04033901,n04501370,n03763968
n07579787,n03992509,n02111277
n01629819,n07871810,n02825657
n04141975,n02268853,n04429376
n03773504,n02091032,n03916031
n03627232,n02412080,n02114855
n03417042,n03903868,n04286575
n04418357,n06794110,n02667093
n03188531,n03045698,n04069434
n02441942,n03770679,n02108089
n02403003,n03888605,n15075141
n04118538,n07760859,n02106550
n01641577,n02093647,n02111129
n06785654,n03599486,n02492660
n01774750,n02403003,n02699494
n02105641,n03443371,n03492542
n02398521,n02096177,n04037443
n01986214,n03733805,n02094258
n01558993,n04147183,n03599486
n03141823,n02108915,n02092002
n02804414,n03843555,n04141327
n02814533,n04141975,n02120505
n02326432,n02174001,n03482405
n03085013,n04285008,n02107574
n03445777,n04328186,n02447366
n02325366,n01665541,n07871810
n04606251,n07753113,n04347754
n02795169,n01910747,n02085936
n02487347,n03599486,n03485794
n02105412,n03045698,n01692333
n02500267,n02978881,n04347754
n04026417,n03124170,n03445777
n02783161,n09472597,n02096294
n02268443,n02692877,n03877845
n07745940,n03424325,n02091467
n02280649,n03866082,n02112137
n01537544,n04612504,n02110958
n02277742,n04228054,n03775071
n03467068,n04371774,n02493793
n02840245,n03344393,n02109961
n02102040,n02088094,n04326547
n04525038,n03633091,n03642806
n07717410,n03124043,n03947888
n01774750,n03259280,n02883205
n01742172,n02804414,n01806143
n02233338,n01983481,n07753275
n04584207,n03793489,n02701002
n03026506,n04542943,n04266014
n01775062,n03876231,n03240683
n02086240,n02808304,n03271574
n03544143,n02090379,n03494278
n01776313,n01729977,n02002724
n01829413,n02007558,n03733131
n02091134,n02123597,n02096294
n02086240,n02091032,n03482405
n02104029,n07615774,n03903868
n02971356,n01914609,n01531178
n03485407,n03584829,n04356056
n04019541,n07892512,n02219486
n03444034,n07695742,n02174001
n03691459,n04399382,n04118776
n03160309,n03788365,n01687978
n01930112,n07760859,n04037443
n02233338,n02966193,n01795545
n03770679,n02096177,n02423022
n04418357,n03761084,n02089078
n02051845,n03000684,n03924679
n07753275,n02088466,n04344873
n02190166,n01748264,n03637318
n12057211,n04522168,n03787032
n02483362,n02364673,n03877845
n02782093,n01494475,n02087394
n02834397,n01735189,n01755581
n02114548,n02835271,n03207941
n02094433,n07716906,n02492035
n02099429,n04417672,n02747177
n03868863,n02097658,n02113978
n02526121,n03337140,n02093991
n01855672,n01692333,n04209239
n02927161,n02321529,n02114855
n03814906,n02090379,n02326432
n02871525,n03131574,n03706229
n02132136,n03884397,n03133878
n03933933,n03355925,n02825657
n04296562,n02206856,n02672831
n09229709,n12985857,n02033041
n02870880,n02096177,n02112350
n02113799,n02356798,n02672831
n02119022,n04370456,n01560419
n07614500,n03724870,n02113712
n04252077,n02787622,n04613696
n04371774,n01984695,n03498962
n01833805,n03372029,n03942813
n03584829,n02536864,n04326547
n03290653,n07754684,n02012849
n02110341,n04522168,n02988304
n02098105,n04296562,n03584254
n02342885,n02107908,n03633091
n02074367,n02510455,n04266014
n01443537,n02504458,n04258138
n03447447,n09472597,n02114855
n03967562,n10148035,n03786901
n01685808,n04501370,n02002724
n03481172,n04462240,n02870880
n01728920,n03803284,n02090622
n01494475,n04254120,n03452741
n04462240,n03372029,n02012849
n02093256,n03384352,n04263257
n03063599,n03743016,n02092339
n03825788,n04462240,n03207941
n03916031,n02071294,n07892512
n02980441,n02782093,n02097658
n04347754,n03085013,n02174001
n02056570,n03785016,n02091244
n02699494,n02264363,n02814533
n02108089,n02177972,n02840245
n07880968,n02128385,n04266014
n03314780,n02104029,n02814533
n04417672,n03788365,n04259630
n02011460,n02395406,n03670208
n02342885,n02487347,n03770439
n03929660,n03627232,n02408429
n02102973,n04026417,n01558993
n02105251,n04192698,n03461385
n03998194,n03868863,n03980874
n02123045,n02099712,n02823428
n03770439,n03868863,n04435653
n02093754,n01914609,n04118776
n02236044,n01687978,n03271574
n02094258,n02177972,n07695742
n02669723,n07693725,n04487081
n01560419,n02782093,n02950826
n10148035,n03982430,n01537544
n01770081,n03461385,n07930864
n03935335,n01641577,n02027492
n02056570,n01820546,n02667093
n02105251,n02835271,n01608432
n02130308,n04081281,n03467068
n04265275,n04310018,n09428293
n02843684,n02277742,n01843065
n02107312,n03888605,n03492542
n01833805,n04355338,n02095570
n07768694,n02101388,n02096177
n04209133,n01751748,n03786901
n02093754,n03379051,n01828970
n03814906,n03492542,n02326432
n02894605,n03733131,n07248320
n02490219,n02113186,n04423845
n01955084,n07753592,n04270147
n03970156,n02109961,n04435653
n02109525,n01983481,n02840245
n02454379,n04597913,n03325584
n02107908,n02107312,n01860187
n04004767,n03594734,n02085782
n03891332,n03976467,n04435653
n03208938,n02930766,n04552348
n02088238,n03444034,n04335435
n07860988,n03627232,n07753275
n07714990,n01496331,n02129165
n02481823,n02321529,n03032252
n01753488,n03770439,n02129165
n03676483,n03908618,n02089078
n12998815,n01775062,n02917067
n07930864,n01744401,n02088466
n01768244,n03743016,n02092002
n02011460,n02099849,n03223299
n04380533,n12998815,n03733805
n02108551,n03888605,n02281406
n04507155,n07715103,n02002556
n01728920,n01496331,n02123394
n02730930,n02101006,n03095699
n03447447,n02509815,n03877845
n01644373,n02086910,n03733805
n02098105,n02108422,n03584254
n03837869,n01945685,n02444819
n02098286,n01871265,n02892201
n02607072,n01697457,n02389026
n03400231,n01443537,n02097474
n01883070,n07742313,n03347037
n03532672,n01807496,n02114712
n01980166,n03724870,n04591713
n02231487,n03124170,n03877472
n01978287,n02484975,n03297495
n03995372,n01930112,n02097298
n03956157,n04590129,n02091831
n03627232,n04200800,n15075141
n02493509,n02097474,n02641379
n04550184,n04086273,n04548280
n03124043,n04310018,n03706229
n02009229,n02101388,n01986214
n04310018,n03627232,n02655020
n02097298,n04200800,n07734744
n01692333,n03000134,n02033041
n02113624,n01843383,n02097474
n01873310,n12998815,n04429376
n02123045,n02111500,n01675722
n04552348,n02655020,n02093991
n02837789,n03868863,n04069434
n07684084,n03724870,n02129165
n01496331,n03259280,n03527444
n02105412,n03697007,n02093647
n03388549,n03868242,n04019541
n12768682,n01694178,n02013706
n03841143,n02110185,n01484850
n02095889,n07711569,n02100877
n02909870,n01914609,n02093428
n01631663,n01498041,n02091635
n04162706,n02090379,n04111531
n03804744,n03803284,n03450230
n02747177,n03840681,n02397096
n03902125,n07760859,n02106382
n07615774,n01983481,n04347754
n02777292,n04462240,n03216828
n04612504,n03633091,n02090622
n03075370,n02815834,n03787032
n03938244,n03777754,n02113712
n02259212,n02102177,n03967562
n02106166,n02536864,n01537544
n03461385,n04254120,n02443114
n04483307,n02877765,n02110806
n09256479,n03179701,n04252225
n03272562,n04041544,n12985857
n01484850,n02109525,n02281406
n01829413,n04517823,n04209133
n01498041,n07711569,n04429376
n03902125,n04099969,n04325704
n03467068,n04179913,n02137549
n02169497,n02835271,n02483362
n01978287,n02484975,n04465501
n02097658,n01806567,n04049303
n03673027,n03788195,n02444819
n03908714,n03255030,n03958227
n13052670,n01985128,n04209133
n04350905,n03045698,n04141327
n02783161,n03947888,n02102318
n02128757,n01695060,n15075141
n01873310,n04228054,n03642806
n01773549,n04070727,n03388183
n02117135,n02804610,n03041632
n03976657,n02536864,n02480855
n02948072,n03131574,n04326547
n04200800,n02134418,n02493793
n04409515,n04204347,n03527444
n01531178,n01616318,n04462240
n04131690,n07930864,n02056570
n04125021,n02769748,n02999410
n07749582,n09256479,n02802426
n03445777,n01877812,n09472597
n03837869,n03196217,n03759954
n04235860,n01644900,n01943899
n02090379,n03131574,n04286575
n07920052,n03840681,n02129165
n09246464,n03792782,n01755581
n04552348,n02106166,n03450230
n01882714,n04548362,n03344393
n04550184,n01664065,n02119022
n02115913,n02488291,n09428293
n02403003,n01729977,n04259630
n02120505,n02056570,n04336792
n02268443,n01873310,n04429376
n03825788,n07920052,n07714571
n04275548,n04310018,n02486261
n03888257,n03874599,n04355338
n03857828,n01873310,n04592741
n01664065,n07760859,n02799071
n02490219,n01688243,n04008634
n02115913,n02113624,n02444819
n02013706,n02808440,n04044716
n02948072,n03814906,n07930864
n04310018,n04201297,n03109150
n02447366,n04200800,n04461696
n02090379,n03045698,n02655020
n02277742,n04350905,n02444819
n04447861,n04136333,n03938244
n04204347,n04311004,n02093647
n04090263,n04311174,n02280649
n07831146,n01737021,n02791270
n03710721,n07720875,n07930864
n01986214,n02441942,n04296562
n01608432,n04356056,n04560804
n10148035,n03982430,n01537544
n02783161,n03125729,n02096294
n02086910,n02423022,n07684084
n03954731,n02492035,n07734744
n02106550,n13044778,n03721384
n03916031,n01753488,n04179913
n03594945,n03781244,n03733805
n03124170,n02091134,n03492542
n03633091,n02090379,n01797886
n02107574,n07742313,n03661043
n04380533,n02328150,n03642806
n04204238,n11939491,n02111889
n02219486,n01742172,n01883070
n02085936,n02231487,n09193705
n02124075,n02364673,n02110806
n02101006,n02837789,n03445777
n02319095,n04507155,n02105056
n02259212,n03016953,n04417672
n01682714,n03908714,n04443257
n01824575,n01872401,n04286575
n02123394,n04548280,n02002556
n04428191,n04264628,n02114855
n01917289,n04204347,n04116512
n03843555,n01914609,n03216828
n07717556,n03908618,n02093991
n02102480,n03443371,n04486054
n02808304,n09256479,n02480495
n03443371,n07768694,n02814533
n03895866,n02123159,n07753275
n07718747,n02488702,n04366367
n03983396,n02093647,n02107574
n02641379,n02110806,n01843065
n02730930,n11939491,n04347754
n02110341,n01873310,n03743016
n07583066,n07695742,n03877472
n07717556,n02782093,n02444819
n04252225,n03733131,n02391049
n02106030,n02951585,n04458633
n02690373,n03196217,n04553703
n02086646,n04125021,n02910353
n02107683,n01728920,n02692877
n07717556,n03394916,n15075141
n02417914,n02002556,n12267677
n02342885,n01985128,n03733805
n03717622,n04501370,n07892512
n01784675,n03000684,n03109150
n02317335,n02108089,n02802426
n02097130,n04371774,n02268443
n03709823,n04040759,n02326432
n03977966,n13054560,n02093256
n01843065,n02877765,n02090721
n02927161,n04592741,n02095314
n13044778,n02930766,n03980874
n03207941,n02793495,n02860847
n03602883,n10565667,n01797886
n03127747,n02808304,n03527444
n02974003,n03633091,n02120505
n12768682,n07693725,n04285008
n07718747,n03594945,n01806567
n03866082,n04228054,n04505470
n07720875,n02510455,n02092339
n04252225,n03207941,n01807496
n02099267,n02443114,n03733805
n07730033,n03627232,n02091635
n02130308,n03325584,n02906734
n02002556,n02102318,n03793489
n04209239,n03146219,n03976657
n02808304,n09256479,n01817953
n03124043,n07880968,n03670208
n04067472,n01981276,n02840245
n04263257,n01914609,n03782006
n04116512,n02869837,n02113799
n03450230,n04418357,n01820546
n04371774,n03379051,n02100877
