anchor_cat,positive_cat,negative_cat
n02823428,n02110185,n04037443
n07697537,n01855032,n04604644
n01855672,n02441942,n02108000
n03485407,n03841143,n03602883
n12057211,n03290653,n02795169
n04442312,n03854065,n03459775
n02840245,n02825657,n07753592
n02107908,n01688243,n04557648
n02536864,n03721384,n01828970
n01632458,n03710193,n03832673
n02106030,n02115913,n02229544
n07248320,n04099969,n03527444
n04347754,n04507155,n02965783
n02109047,n01985128,n03793489
n03085013,n02107908,n02009229
n04023962,n01735189,n01514668
n02093428,n02395406,n02129165
n02113023,n02782093,n04370456
n04493381,n04548362,n04557648
n02965783,n03742115,n01630670
n04081281,n02769748,n03877845
n04346328,n03478589,n03216828
n12057211,n04548362,n01843383
n02445715,n01806567,n02097474
n03929855,n01955084,n01531178
n02117135,n07716906,n04204238
n01664065,n04458633,n03297495
n01773157,n03530642,n02814533
n04131690,n07831146,n02437616
n07754684,n04229816,n02088094
n04228054,n02325366,n04429376
n02841315,n03673027,n03838899
n15075141,n04179913,n02917067
n02037110,n02102318,n02454379
n02113978,n02077923,n03662601
n02483708,n04229816,n02088094
n03000684,n02093754,n02917067
n03590841,n03899768,n07920052
n02088466,n03769881,n02107683
n03259280,n02504013,n01828970
n03899768,n02804610,n03794056
n03590841,n01955084,n04482393
n04146614,n02102318,n03085013
n02137549,n03314780,n02058221
n04099969,n03787032,n02106030
n02607072,n02112350,n02119789
n07768694,n02099849,n02087046
n02124075,n03325584,n03000134
n04070727,n03179701,n04136333
n04125021,n03379051,n02113023
n01978287,n02104365,n01630670
n04263257,n01984695,n04591713
n02138441,n01944390,n07753275
n01735189,n02110063,n02814533
n03188531,n04127249,n03916031
n02123597,n04447861,n04254120
n04033901,n04275548,n01632458
n07579787,n03982430,n02058221
n01629819,n09468604,n02088094
n04141975,n03372029,n01843065
n03773504,n03223299,n09246464
n03627232,n01910747,n04069434
n03417042,n07711569,n07920052
n04418357,n07714571,n01537544
n03188531,n02835271,n04004767
n02441942,n04442312,n07892512
n02403003,n04462240,n03902125
n04118538,n03630383,n03124043
n01641577,n04033901,n04417672
n06785654,n04344873,n03887697
n01774750,n01773549,n03109150
n02105641,n03891332,n01796340
n02398521,n02793495,n03041632
n01986214,n04118538,n03777754
n01558993,n03494278,n01749939
n03141823,n02108000,n02051845
n02804414,n04120489,n03452741
n02814533,n02795169,n10565667
n02326432,n03534580,n02114367
n03085013,n01917289,n03642806
n03445777,n02028035,n01833805
n02325366,n02101388,n04033995
n04606251,n02111500,n04347754
n02795169,n07802026,n01537544
n02487347,n03599486,n15075141
n02105412,n03874599,n04090263
n02500267,n03874599,n03187595
n04026417,n13054560,n02099267
n02783161,n04005630,n02089973
n02268443,n02277742,n03742115
n07745940,n01818515,n12144580
n02280649,n02669723,n02108422
n01537544,n01494475,n02113978
n02277742,n04485082,n02342885
n03467068,n01630670,n04487081
n02840245,n07584110,n03297495
n02102040,n03933933,n02917067
n04525038,n07831146,n02105056
n07717410,n03814906,n02018795
n01774750,n02859443,n03770439
n01742172,n03379051,n03947888
n02233338,n02106662,n03417042
n04584207,n02797295,n04147183
n03026506,n04462240,n02790996
n01775062,n01693334,n09332890
n02086240,n02966193,n02264363
n03544143,n09229709,n03602883
n01776313,n03888257,n04004767
n01829413,n07753592,n04266014
n02091134,n02415577,n01629819
n02086240,n02226429,n13133613
n02104029,n02699494,n02676566
n02971356,n02132136,n02095570
n03485407,n01669191,n03452741
n04019541,n02325366,n02124075
n03444034,n01704323,n02086240
n03691459,n02877765,n02095570
n03160309,n01855032,n01843383
n01930112,n02837789,n03710193
n02233338,n01983481,n03223299
n03770679,n03146219,n02102040
n04418357,n03325584,n03873416
n02051845,n02095889,n01601694
n07753275,n03930630,n03065424
n02190166,n04589890,n03000684
n12057211,n02110341,n02783161
n02483362,n02802426,n02100877
n02782093,n03131574,n03871628
n02834397,n02321529,n07734744
n02114548,n03000247,n02093991
n02094433,n02106550,n03884397
n02099429,n01665541,n03014705
n03868863,n04326547,n01855672
n02526121,n01749939,n01828970
n01855672,n07760859,n02120505
n02927161,n01498041,n01534433
n03814906,n04192698,n03450230
n02871525,n11939491,n02099267
n02132136,n03530642,n02100236
n03933933,n01484850,n02398521
n04296562,n03759954,n02454379
n09229709,n03450230,n03197337
n02870880,n01677366,n02883205
n02113799,n02134418,n03467068
n02119022,n02009229,n02268853
n07614500,n06874185,n01531178
n04252077,n03938244,n01981276
n04371774,n01910747,n03930313
n01833805,n02978881,n02018207
n03584829,n04376876,n02100877
n03290653,n04409515,n02492660
n02110341,n03924679,n02110063
n02098105,n02497673,n03832673
n02342885,n04235860,n02105056
n02074367,n04310018,n02112018
n01443537,n02606052,n09421951
n03447447,n03146219,n02097209
n03967562,n04310018,n02087046
n01685808,n01664065,n02326432
n03481172,n02127052,n02091467
n01728920,n01580077,n15075141
n01494475,n07716906,n01616318
n04462240,n04599235,n01601694
n02093256,n01496331,n04557648
n03063599,n04579145,n03467068
n03825788,n02099849,n01558993
n03916031,n03814639,n02655020
n02980441,n02834397,n02930766
n04347754,n02514041,n04552348
n02056570,n03530642,n03535780
n02699494,n03874599,n02814533
n02108089,n07768694,n02105641
n07880968,n02492660,n02090622
n03314780,n02422699,n01843065
n04417672,n03998194,n03481172
n02011460,n04350905,n02097474
n02342885,n04070727,n04487081
n03929660,n02088466,n01728920
n02102973,n03089624,n03527444
n02105251,n03187595,n02127052
n03998194,n04310018,n04409515
n02123045,n03998194,n01817953
n03770439,n10148035,n02009229
n02093754,n07860988,n01537544
n02236044,n02018795,n04591713
n02094258,n03075370,n03134739
n02669723,n02096051,n07892512
n01560419,n03742115,n04398044
n10148035,n07695742,n02091467
n01770081,n03127747,n04326547
n03935335,n04243546,n03498962
n02056570,n04200800,n02793495
n02105251,n03394916,n01601694
n02130308,n12998815,n02268853
n04265275,n02091032,n04482393
n02843684,n02536864,n01558993
n02107312,n03290653,n03207941
n01833805,n04355338,n04418357
n07768694,n02104365,n02794156
n04209133,n02112018,n04204347
n02093754,n07730033,n03388183
n03814906,n01737021,n03450230
n02894605,n13052670,n06794110
n02490219,n06596364,n03584829
n01955084,n13040303,n03467068
n03970156,n01677366,n03770679
n02109525,n02966193,n03661043
n02454379,n01755581,n02951585
n02107908,n02403003,n03876231
n04004767,n02111889,n01688243
n03891332,n01910747,n02110806
n03208938,n07711569,n04592741
n02088238,n02108915,n03838899
n07860988,n02281787,n01616318
n07714990,n04200800,n15075141
n02481823,n03691459,n02088466
n01753488,n03388043,n03680355
n03676483,n04517823,n02480855
n12998815,n01944390,n04429376
n07930864,n03344393,n02492660
n01768244,n02123159,n03109150
n02011460,n07831146,n03485407
n04380533,n02815834,n03908714
n02108551,n03710721,n04239074
n04507155,n07715103,n02692877
n01728920,n02791270,n02092339
n02730930,n02500267,n02100877
n03447447,n04462240,n03877845
n01644373,n02325366,n04380533
n02098105,n03710637,n03832673
n03837869,n04235860,n04147183
n02098286,n02804414,n02749479
n02607072,n07875152,n01558993
n03400231,n03089624,n03958227
n01883070,n02992529,n03720891
n03532672,n02165105,n04041544
n01980166,n07831146,n03207941
n02231487,n03841143,n04418357
n01978287,n04310018,n04380533
n03995372,n07684084,n07248320
n03956157,n02091244,n02138441
n03627232,n03825788,n03796401
n02493509,n01729977,n04277352
n04550184,n02256656,n04209133
n03124043,n03874599,n02105641
n02009229,n03857828,n03347037
n04310018,n03124043,n02807133
n02097298,n02106662,n02105251
n01692333,n04532106,n01491361
n02113624,n03710193,n02100236
n01873310,n02815834,n03776460
n02123045,n02321529,n02397096
n04552348,n02504458,n02129165
n02837789,n03627232,n02708093
n07684084,n04204347,n02895154
n01496331,n02011460,n12144580
n02105412,n07742313,n04008634
n03388549,n10565667,n07836838
n12768682,n03874599,n02105056
n03841143,n02860847,n03196217
n02095889,n02094258,n03109150
n02909870,n12768682,n02486410
n01631663,n03599486,n02091635
n04162706,n03970156,n04266014
n03804744,n07831146,n03733281
n02747177,n01784675,n04355933
n03902125,n03873416,n03777568
n07615774,n02869837,n02916936
n02777292,n04399382,n02883205
n04612504,n03495258,n04033995
n03075370,n01665541,n02096585
n03938244,n03127747,n02113712
n02259212,n04367480,n04417672
n02106166,n02799071,n02808440
n03461385,n02494079,n02640242
n04483307,n04146614,n07892512
n09256479,n01914609,n02167151
n03272562,n03929855,n03721384
n01484850,n01697457,n03838899
n01829413,n07734744,n02124075
n01498041,n03991062,n04008634
n03902125,n02415577,n02281406
n03467068,n07584110,n03903868
n02169497,n02096051,n03584254
n01978287,n04310018,n02807133
n02097658,n07831146,n03109150
n03673027,n01644373,n03388183
n03908714,n03100240,n01558993
n13052670,n01692333,n03720891
n04350905,n01753488,n03720891
n02783161,n03930313,n03187595
n02128757,n04579145,n01843065
n01873310,n03482405,n02493793
n01773549,n01775062,n04562935
n02117135,n03874293,n04335435
n03976657,n01729977,n04277352
n02948072,n01697457,n03187595
n04200800,n07714990,n02641379
n04409515,n03075370,n03832673
n01531178,n03877845,n02138441
n04131690,n03666591,n02085620
n04125021,n01749939,n01704323
n07749582,n03372029,n04136333
n03445777,n02321529,n02437312
n03837869,n12998815,n02093991
n04235860,n04133789,n04252225
n02090379,n02115913,n01558993
n07920052,n02328150,n04049303
n09246464,n03891332,n03527444
n04552348,n04273569,n01616318
n01882714,n02110341,n02783161
n04550184,n04311004,n04355338
n02115913,n02099849,n04370456
n02403003,n01955084,n02825657
n02120505,n02056570,n03803284
n02268443,n03721384,n02012849
n03825788,n03866082,n04552348
n04275548,n02843684,n03670208
n03888257,n02093754,n02790996
n03857828,n04525038,n03958227
n01664065,n04591157,n02794156
n02490219,n02106662,n02165456
n02115913,n04325704,n03447447
n02013706,n04252225,n02095570
n02948072,n02165456,n04037443
n04310018,n02077923,n04037443
n02447366,n02226429,n03445777
n02090379,n02002556,n02089973
n02277742,n02325366,n03372029
n04447861,n03100240,n04004767
n04204347,n04125021,n02012849
n04090263,n03854065,n04389033
n07831146,n02403003,n04141327
n03710721,n01697457,n02123394
n01986214,n03627232,n04086273
n01608432,n03127925,n12985857
n10148035,n07695742,n02091467
n02783161,n02492035,n02089973
n02086910,n02666196,n07930864
n03954731,n02091244,n03485794
n02106550,n04019541,n04285008
n03916031,n01770393,n04435653
n03594945,n03207743,n04591713
n03124170,n13054560,n01537544
n03633091,n02536864,n02802426
n02107574,n04332243,n02093256
n04380533,n02834397,n03787032
n04204238,n03733131,n02110806
n02219486,n11939491,n04347754
n02085936,n02279972,n03424325
n02124075,n03673027,n02916936
n02101006,n03594945,n01807496
n02319095,n01498041,n04604644
n02259212,n07583066,n02480855
n01682714,n03240683,n04366367
n01824575,n01930112,n01795545
n02123394,n03782006,n03670208
n04428191,n03379051,n02229544
n01917289,n03595614,n03876231
n03843555,n02417914,n04277352
n07717556,n02169497,n03642806
n02102480,n12985857,n02667093
n02808304,n07697537,n02917067
n03443371,n03998194,n04366367
n03895866,n03841143,n04141327
n07718747,n07871810,n02483362
n03983396,n04548362,n02492035
n02641379,n04367480,n03146219
n02730930,n13052670,n02917067
n02110341,n02951358,n04086273
n07583066,n04192698,n04366367
n07717556,n03841143,n01682714
n04252225,n04192698,n03452741
n02106030,n02088238,n03956157
n02690373,n02097658,n02980441
n02086646,n02096051,n03110669
n02107683,n03457902,n09472597
n07717556,n02497673,n03937543
n02417914,n04146614,n02091467
n02342885,n03394916,n03657121
n03717622,n01729977,n02825657
n01784675,n03220513,n04552348
n02317335,n01917289,n01968897
n02097130,n03908714,n03709823
n03709823,n03384352,n01728572
n03977966,n02108551,n02119022
n01843065,n02097658,n03933933
n02927161,n02097658,n01616318
n13044778,n03089624,n03770679
n03207941,n01950731,n04004767
n03602883,n02699494,n03782006
n03127747,n03255030,n07697313
n02974003,n02088632,n03602883
n12768682,n01735189,n04090263
n07718747,n02500267,n02447366
n03866082,n03124043,n02056570
n07720875,n07697537,n01601694
n04252225,n02966193,n02783161
n02099267,n04275548,n01806143
n07730033,n02325366,n02916936
n02130308,n03100240,n02823750
n02002556,n03272010,n04550184
n04209239,n07695742,n04332243
n02808304,n07697537,n03109150
n03124043,n03223299,n02091134
n04067472,n01955084,n01616318
n04263257,n07613480,n03337140
n04116512,n04235860,n07697313
n03450230,n02089973,n02056570
n04371774,n03837869,n02056570
