anchor_cat,positive_cat,negative_cat
n02101388,n02514041,n04141327
n02442845,n04542943,n02093256
n04486054,n03792782,n02483362
n02123597,n02776631,n02114367
n04204238,n02894605,n02106166
n02447366,n04111531,n01917289
n02093991,n04370456,n09421951
n02006656,n01955084,n03271574
n02892201,n04517823,n03485407
n02085620,n09472597,n03903868
n03530642,n03124043,n01514668
n02099601,n02077923,n03662601
n03272010,n02101006,n03877845
n02667093,n04070727,n04523525
n02999410,n02948072,n02110806
n04579432,n07613480,n03000684
n02105162,n04228054,n01629819
n01675722,n01980166,n02086240
n09428293,n03529860,n03950228
n03980874,n02113624,n02229544
n02817516,n04228054,n02802426
n13133613,n03372029,n03983396
n04476259,n03721384,n02895154
n04579145,n03697007,n02256656
n04392985,n06596364,n02974003
n04376876,n04086273,n02802426
n01950731,n02892767,n07930864
n02089867,n01917289,n03977966
n09399592,n09229709,n02129165
n01728920,n01697457,n09428293
n04040759,n02992529,n02443114
n04612504,n04501370,n03344393
n02256656,n04442312,n09428293
n02033041,n01534433,n03764736
n03706229,n03075370,n02128385
n03706229,n02236044,n02091244
n03062245,n01950731,n03733281
n03942813,n02483362,n02823750
n01629819,n02125311,n02137549
n04065272,n02894605,n07717410
n04336792,n04356056,n03492542
n04554684,n01873310,n02119022
n03388183,n12267677,n02494079
n03065424,n03000684,n03344393
n02102480,n03240683,n04008634
n03804744,n01592084,n04251144
n02504458,n02769748,n03344393
n02108551,n03724870,n07930864
n02117135,n02088238,n03876231
n01955084,n03991062,n02091635
n07932039,n03100240,n02009229
n02108551,n02110806,n01797886
n01518878,n02111889,n04277352
n01498041,n07711569,n03877845
n02799071,n02669723,n03876231
n02701002,n04228054,n02012849
n03793489,n02403003,n02391049
n03804744,n07697537,n02091467
n07716358,n01877812,n02807133
n03208938,n04501370,n01855672
n02028035,n03884397,n03733805
n03532672,n01871265,n02094433
n07875152,n01984695,n04487081
n01843383,n03982430,n02088238
n03201208,n03924679,n01819313
n02108915,n02403003,n04204238
n03770679,n07831146,n03445777
n04356056,n02106662,n03223299
n02098413,n03095699,n03063599
n03532672,n02865351,n02091831
n02669723,n02790996,n02814533
n03481172,n02134084,n02095889
n02006656,n01774384,n02091635
n03127747,n04501370,n02268853
n02099429,n03476991,n02058221
n01774750,n01914609,n03337140
n04065272,n03920288,n02988304
n02871525,n03450230,n04505470
n04505470,n03089624,n03014705
n07720875,n02172182,n02190166
n02102973,n01824575,n09428293
n02096437,n04482393,n04592741
n02910353,n01930112,n03764736
n03042490,n04335435,n01582220
n02787622,n01855032,n04429376
n03742115,n04606251,n01616318
n03825788,n03476991,n04069434
n02795169,n02233338,n02128925
n04347754,n03216828,n02174001
n02107683,n02488702,n04604644
n02115913,n01806567,n04008634
n04090263,n01944390,n04254680
n04252077,n04501370,n03532672
n02395406,n03045698,n03877845
n01641577,n02396427,n03770679
n03956157,n07248320,n02342885
n03016953,n03042490,n02963159
n02978881,n03042490,n12144580
n02102318,n02090379,n04592741
n02777292,n02504458,n03729826
n03787032,n02114548,n02980441
n03868863,n02877765,n03873416
n02791124,n04040759,n02105251
n03764736,n02168699,n09428293
n06874185,n02321529,n03793489
n02504013,n03089624,n04118538
n01924916,n13037406,n04008634
n03775546,n01739381,n02117135
n03770439,n02510455,n01601694
n03956157,n01697457,n02107142
n02277742,n01496331,n02229544
n03721384,n02815834,n04252225
n04067472,n03063689,n02708093
n01943899,n02086079,n04355933
n04067472,n03063689,n02268443
n02009912,n01697457,n02447366
n02106550,n02226429,n04118538
n02100583,n02102973,n03584254
n02481823,n02488291,n02747177
n02165105,n01807496,n03584254
n02095570,n02319095,n03743016
n02002556,n03223299,n15075141
n02092002,n03197337,n03770679
n03709823,n03126707,n02113023
n02099712,n03649909,n01855672
n01496331,n03676483,n03670208
n03141823,n02025239,n06794110
n02112137,n03314780,n02814533
n04325704,n02892767,n02342885
n04487081,n04264628,n15075141
n04483307,n01677366,n04604644
n02927161,n02110958,n02102480
n02930766,n03478589,n01820546
n03666591,n03459775,n02086240
n01641577,n02321529,n04069434
n04152593,n02107683,n04004767
n02481823,n03884397,n02100877
n03075370,n02108422,n02100236
n04149813,n03599486,n03903868
n02870880,n01860187,n02085620
n01943899,n02233338,n02106030
n07730033,n02410509,n03733281
n02128925,n02110063,n04239074
n02795169,n12144580,n04141327
n02108000,n02910353,n02097209
n02007558,n02233338,n02268853
n02092339,n04428191,n04204238
n04366367,n03126707,n02167151
n01872401,n03599486,n02640242
n02992211,n01560419,n04613696
n03717622,n03764736,n02096177
n07745940,n04328186,n04041544
n02930766,n01729977,n04141975
n02127052,n01943899,n04335435
n04591157,n02790996,n03272562
n07613480,n07716358,n02093256
n03443371,n03868863,n03109150
n02107908,n01688243,n04435653
n04346328,n03443371,n03344393
n03857828,n03814906,n04592741
n02096585,n04229816,n03590841
n01532829,n01873310,n02708093
n02128757,n04522168,n04033995
n03141823,n10565667,n02823750
n03201208,n02782093,n02097474
n02879718,n03045698,n04604644
n02123045,n02808304,n03792782
n04418357,n03673027,n02106382
n02113624,n03124043,n02100236
n03690938,n04522168,n04296562
n04008634,n02749479,n02948072
n02077923,n02112137,n03201208
n04149813,n04372370,n01820546
n02814533,n04540053,n02099712
n03930313,n01944390,n03617480
n04458633,n01735189,n02963159
n01855032,n02321529,n03297495
n04285008,n03929855,n02097209
n02817516,n04209133,n03457902
n02877765,n07697537,n04209133
n01631663,n02093754,n04090263
n03938244,n02980441,n04310018
n03777754,n03899768,n02910353
n03290653,n03125729,n03720891
n03450230,n02992211,n03637318
n07693725,n07717556,n02454379
n03792782,n07892512,n02097209
n02105251,n03976657,n01828970
n03207941,n02966687,n03954731
n02894605,n03042490,n02106030
n04041544,n03032252,n02088364
n02321529,n07745940,n03297495
n03891251,n01601694,n02099601
n03773504,n04553703,n07714571
n03982430,n04350905,n04127249
n01773797,n02091032,n04090263
n02988304,n02206856,n02229544
n03814639,n02098105,n02794156
n01807496,n01914609,n03942813
n01532829,n01665541,n03207941
n02102177,n03976657,n02012849
n03743016,n03355925,n02105056
n02325366,n01980166,n15075141
n03126707,n07920052,n04604644
n04367480,n02110185,n04532670
n02793495,n03240683,n01847000
n02791124,n02102973,n03832673
n04328186,n04133789,n02749479
n03345487,n03710637,n04004767
n02128385,n02328150,n03916031
n02169497,n04118538,n04443257
n02871525,n03529860,n04153751
n02815834,n02111889,n12144580
n02231487,n02107683,n01843065
n09229709,n03868242,n04277352
n03706229,n03372029,n04476259
n03372029,n03837869,n02117135
n04252077,n01914609,n02091635
n03733281,n03384352,n03063689
n02090622,n02090379,n04456115
n03272010,n02098105,n03777568
n03924679,n03908618,n15075141
n03220513,n03372029,n03347037
n03089624,n04613696,n02133161
n01614925,n02128925,n03584254
n04141975,n03770439,n02361337
n07583066,n02776631,n02085620
n03133878,n03903868,n01828970
n03188531,n02500267,n15075141
n02110063,n02111889,n07892512
n07720875,n03710193,n01797886
n02172182,n12998815,n03297495
n11879895,n01737021,n02125311
n04039381,n01910747,n02708093
n04447861,n02123597,n03109150
n02790996,n03042490,n03201208
n03527444,n02877765,n02058221
n02276258,n03372029,n04418357
n03496892,n02988304,n02120079
n04592741,n03954731,n02457408
n02980441,n07579787,n01443537
n04099969,n03874599,n02093256
n02481823,n02321529,n02091467
n02939185,n01924916,n02110063
n03692522,n03724870,n01514668
n02835271,n02807133,n04604644
n02128385,n01914609,n06874185
n03617480,n02804414,n02114548
n03207941,n03042490,n04613696
n02328150,n02395406,n07248320
n13037406,n04044716,n04486054
n02488702,n01496331,n03838899
n03250847,n02536864,n02190166
n02037110,n01735189,n04380533
n01847000,n04542943,n07579787
n04154565,n04086273,n02870880
n02102177,n03976657,n02114548
n02488702,n02110185,n03838899
n04596742,n01695060,n02799071
n02101388,n04584207,n02056570
n03761084,n04418357,n04069434
n02672831,n07718747,n03796401
n01797886,n01990800,n03028079
n01665541,n01532829,n03642806
n03935335,n02123045,n13133613
n03980874,n04229816,n02092002
n02165456,n02085936,n04366367
n02776631,n02509815,n02058221
n02281787,n02769748,n02264363
n03075370,n04376876,n07753275
n01776313,n03538406,n03032252
n02977058,n01682714,n04270147
n01728920,n03127747,n03494278
n03733281,n01774384,n02094258
n03781244,n04208210,n02606052
n01968897,n02088632,n02105641
n03891251,n12985857,n02917067
n03590841,n02108089,n03662601
n03345487,n11879895,n01531178
n03743016,n01601694,n02105162
n03482405,n01873310,n03000684
n02492035,n02328150,n03388043
n01773549,n02782093,n04552348
n04162706,n03131574,n02280649
n02089867,n02226429,n02916936
n03201208,n03908714,n03670208
n02097209,n02099601,n04409515
n03792782,n03535780,n02123045
n03840681,n07565083,n07248320
n02326432,n03763968,n02108915
n03792972,n02843684,n04542943
n02804414,n03742115,n04326547
n03970156,n04325704,n01685808
n03935335,n02815834,n02096585
n13054560,n03770439,n03832673
n03950228,n02791124,n01871265
n02999410,n03840681,n02087046
n03697007,n07590611,n04162706
n01532829,n01872401,n03393912
n01616318,n02093647,n13133613
n02114367,n02840245,n04326547
n04458633,n04273569,n02492035
n03956157,n04371774,n04033901
n04456115,n02486261,n01797886
n02087394,n02096294,n04069434
n01739381,n01770393,n01537544
n04409515,n02066245,n03602883
n02113978,n04371430,n04560804
n02231487,n07695742,n02167151
n01820546,n02102040,n04606251
n04428191,n02526121,n03838899
n02795169,n01981276,n03775071
n02410509,n03710637,n02087046
n04311004,n07693725,n01531178
n03920288,n03290653,n04429376
n02389026,n03134739,n03063599
n03197337,n03899768,n03393912
n02108422,n04409515,n02423022
n03938244,n04501370,n04086273
n02102318,n02002556,n01820546
n03837869,n03127747,n02389026
n02281787,n02114548,n07930864
n01753488,n04367480,n07892512
n03690938,n02276258,n07717410
n02085936,n03325584,n02490219
n03891251,n04270147,n02137549
n03461385,n03100240,n04596742
n01729322,n02086079,n03018349
n07716358,n04476259,n01614925
n02109961,n02403003,n09193705
n02328150,n04517823,n03642806
n03998194,n03899768,n02033041
n03345487,n02108551,n02086910
n01682714,n03908714,n03661043
n07760859,n02910353,n15075141
n04311004,n02769748,n04033901
n01943899,n01983481,n04604644
n02791124,n04336792,n02492660
n02415577,n01784675,n02444819
n03534580,n01855032,n03998194
n02099601,n02837789,n09332890
n03942813,n02971356,n04552348
n04040759,n02871525,n15075141
n03131574,n03874599,n02097474
n02110627,n03255030,n03063599
n04273569,n01855032,n04487081
n04127249,n02769748,n04476259
n03018349,n02504013,n03680355
n03804744,n04149813,n02795169
n02098105,n02112137,n02086240
n02999410,n03840681,n02443114
n01641577,n03529860,n04505470
n03709823,n02641379,n03602883
n04355338,n03595614,n04037443
n04116512,n02486261,n03642806
n02112706,n02012849,n02823428
n01806143,n03868242,n03980874
n03498962,n04252225,n03661043
n02011460,n02099849,n04147183
n03832673,n07695742,n01558993
n02104365,n03089624,n02096437
n04417672,n07565083,n03372029
n02489166,n02793495,n02117135
n03126707,n03337140,n04486054
n02099712,n02509815,n03840681
n02058221,n07584110,n03344393
n02099267,n02328150,n02486261
n03538406,n01729977,n02093256
n03770439,n01819313,n03485407
n07615774,n01667114,n04417672
n03124170,n02510455,n04380533
n04009552,n03803284,n02114855
n03796401,n02497673,n04049303
n03496892,n04376876,n02114367
n02108000,n07716906,n03777568
n03197337,n03933933,n02074367
n02097658,n03089624,n07714571
n13040303,n04350905,n02091467
n03781244,n03042490,n02606052
n04599235,n03249569,n02676566
n02089973,n02134418,n04049303
n04252225,n02226429,n02095570
n02492660,n03538406,n03461385
n03868242,n13037406,n06794110
n04251144,n01631663,n04118776
n02110958,n02488291,n03297495
n03742115,n03124043,n02190166
n01749939,n01742172,n03733805
n03637318,n03141823,n03782006
n02099429,n02643566,n03201208
n03673027,n03633091,n02120079
n02099601,n01990800,n02917067
n03908618,n04371774,n02493793
n01860187,n02966193,n03958227
n03042490,n02410509,n04141327
n02090379,n01877812,n03485407
n04239074,n04389033,n02105251
n02123159,n04310018,n09428293
n06874185,n04399382,n03729826
n02088238,n01984695,n03662601
n03717622,n04275548,n02398521
n01833805,n01980166,n03584254
n02493509,n03970156,n03208938
n02092339,n01644900,n04311004
n04019541,n07892512,n03958227
n03877472,n02113186,n03444034
n04090263,n01697457,n12144580
n02892767,n02093754,n02091635
n02102318,n02177972,n09332890
n02356798,n01914609,n02120505
n02094114,n03344393,n03916031
n03494278,n03773504,n02091244
n02229544,n03457902,n03877845
n02328150,n03840681,n02444819
n04355933,n03379051,n01601694
n03967562,n03710721,n03935335
n02107312,n04462240,n01675722
n04254120,n01735189,n02814533
n04392985,n02077923,n01968897
n03425413,n02782093,n01755581
n02492035,n02101006,n03393912
n02437312,n03666591,n04417672
n01882714,n03623198,n09428293
n02799071,n13044778,n04596742
n03908714,n03814906,n04008634
n04485082,n02051845,n03733281
n04201297,n03220513,n03838899
n01491361,n07749582,n12144580
n07716358,n02992529,n02097474
n02486410,n02804610,n02096437
n02415577,n01530575,n02095314
n02116738,n04074963,n01820546
n03602883,n10565667,n02441942
n03891332,n04201297,n04429376
n02894605,n02112350,n01514668
n02776631,n02107142,n02096585
n02123394,n02125311,n04550184
n02319095,n07860988,n01950731
n01692333,n02398521,n02096437
n02093991,n04501370,n03877845
n09256479,n02607072,n04239074
n02840245,n04579145,n01667778
n06785654,n04462240,n04285008
n02112706,n03788365,n04111531
n02174001,n02396427,n04507155
n02137549,n03673027,n04591713
n02749479,n04228054,n04493381
n02093859,n01943899,n02666196
n07565083,n01986214,n01820546
n04589890,n07583066,n01558993
n09472597,n03062245,n07753275
n03706229,n04153751,n02089078
n02823428,n02107908,n02444819
n07697537,n01955084,n02099267
n01855672,n03792972,n04147183
n03485407,n02988304,n03602883
n12057211,n04336792,n03787032
n04442312,n01484850,n02091134
n02840245,n03924679,n03970156
n02107908,n02107312,n02870880
n02536864,n03220513,n03297495
n01632458,n01677366,n04265275
n02106030,n02113624,n03733805
n07248320,n04141975,n03733281
n04347754,n02823428,n02817516
n02109047,n02096051,n02093647
n03085013,n04141076,n03450230
n04023962,n03649909,n02486261
n02093428,n01742172,n03956157
n02113023,n03874599,n02870880
n04493381,n03691459,n02027492
n02965783,n03000684,n03127925
n04081281,n01872401,n02814533
n04346328,n02487347,n03786901
n12057211,n03481172,n03838899
n02445715,n01955084,n01531178
n03929855,n02093754,n02097209
n02117135,n07583066,n02391049
n01664065,n03125729,n04613696
n01773157,n03814906,n04252225
n04131690,n03888605,n02105251
n07754684,n03125729,n03085013
n04228054,n04579145,n03776460
n02841315,n04507155,n03223299
n15075141,n02280649,n04590129
n02037110,n02104365,n02687172
n02113978,n02088466,n02493793
n02483708,n01729977,n09428293
n03000684,n03877472,n04429376
n03590841,n02108089,n04456115
n02088466,n02085782,n02087046
n03259280,n02769748,n04069434
n03899768,n03045698,n09332890
n03590841,n01955084,n04404412
n04146614,n03908618,n02093256
n02137549,n02536864,n04429376
n04099969,n02879718,n02514041
n02607072,n02782093,n01558993
n07768694,n04548362,n01558993
n02124075,n02190166,n07920052
n04070727,n02607072,n02493793
n04125021,n03379051,n02120505
n01978287,n04065272,n02916936
n04263257,n07565083,n03476991
n02138441,n04070727,n02917067
n01735189,n03627232,n04417672
n03188531,n02328150,n04429376
n02123597,n02102318,n02795169
n04033901,n02395406,n02860847
n07579787,n13052670,n01682714
n01629819,n03124043,n03492542
n04141975,n04548362,n02917067
n03773504,n02422106,n01580077
n03627232,n02782093,n02190166
n03417042,n01883070,n02128385
n04418357,n02113624,n01608432
n03188531,n02835271,n03388549
n02441942,n04597913,n03903868
n02403003,n04517823,n04435653
n04118538,n03131574,n02113712
n01641577,n02396427,n02108000
n06785654,n01496331,n02012849
n01774750,n02097298,n02883205
n02105641,n02051845,n04509417
n02398521,n03000134,n02229544
n01986214,n02104029,n03775546
n01558993,n02132136,n02106166
n03141823,n03666591,n03445777
n02804414,n03394916,n03733805
n02814533,n04141975,n04037443
n02326432,n03447721,n02814860
n03085013,n04501370,n02361337
n03445777,n03991062,n01843065
n02325366,n03124170,n02444819
n04606251,n04325704,n01558993
n02795169,n01983481,n01440764
n02487347,n02051845,n03485794
n02105412,n01877812,n01530575
n02500267,n02951358,n02097209
n04026417,n01914609,n02963159
n02783161,n04065272,n04252225
n02268443,n02536864,n01484850
n07745940,n01494475,n04326547
n02280649,n02134084,n03933933
n01537544,n01667778,n09246464
n02277742,n03384352,n03467068
n03467068,n04141076,n04086273
n02840245,n03908618,n02109961
n02102040,n03188531,n07860988
n04525038,n02410509,n01558993
n07717410,n03492542,n02096437
n01774750,n02114548,n04380533
n01742172,n03124043,n04347754
n02233338,n01983481,n02823750
n04584207,n02415577,n03042490
n03026506,n02510455,n02105056
n01775062,n03804744,n02091467
n02086240,n07873807,n03388549
n03544143,n04133789,n01820546
n01776313,n03866082,n03661043
n01829413,n02089867,n02977058
n02091134,n07871810,n02437616
n02086240,n02988304,n03355925
n02104029,n02422699,n03796401
n02971356,n01756291,n03444034
n03485407,n03594945,n02106382
n04019541,n01630670,n02105056
n03444034,n02114712,n02490219
n03691459,n04023962,n02105056
n03160309,n02704792,n01820546
n01930112,n07684084,n03018349
n02233338,n01751748,n04141327
n03770679,n02102973,n03991062
n04418357,n03450230,n02091467
n02051845,n01622779,n01820546
n07753275,n04179913,n03482405
n02190166,n01518878,n02979186
n12057211,n02510455,n02056570
n02483362,n02481823,n03532672
n02782093,n03529860,n03670208
n02834397,n02835271,n02097130
n02114548,n03325584,n02749479
n02094433,n07716906,n02791270
n02099429,n01440764,n03201208
n03868863,n04447861,n02094433
n02526121,n03045698,n02129165
n01855672,n02091467,n03786901
n02927161,n03706229,n02114855
n03814906,n03857828,n03961711
n02871525,n01693334,n03109150
n02132136,n03884397,n02268443
n03933933,n04005630,n04243546
n04296562,n02096294,n04286575
n09229709,n03544143,n02033041
n02870880,n04485082,n03793489
n02113799,n02704792,n02120505
n02119022,n04579145,n04153751
n07614500,n03146219,n01797886
n04252077,n02093754,n01833805
n04371774,n04149813,n02676566
n01833805,n02101388,n07930864
n03584829,n04517823,n02102480
n03290653,n07754684,n03388549
n02110341,n04229816,n04418357
n02098105,n03814639,n03832673
n02342885,n07717556,n01930112
n02074367,n02125311,n04532670
n01443537,n01924916,n02002724
n03447447,n03920288,n02112706
n03967562,n01496331,n04355933
n01685808,n02111889,n04487081
n03481172,n03899768,n02106030
n01728920,n07693725,n02097474
n01494475,n04254120,n02480495
n04462240,n01496331,n01828970
n02093256,n03000247,n04067472
n03063599,n02096051,n02690373
n03825788,n04285008,n03207941
n03916031,n01729977,n02870880
n02980441,n12985857,n04515003
n04347754,n04041544,n02033041
n02056570,n03452741,n02112706
n02699494,n04005630,n01797886
n02108089,n03127747,n02480495
n07880968,n03379051,n04266014
n03314780,n02422699,n03223299
n04417672,n10565667,n02480495
n02011460,n02325366,n02749479
n02342885,n01770393,n02437312
n03929660,n02011460,n02971356
n02102973,n01990800,n02229544
n02105251,n03291819,n04344873
n03998194,n04273569,n03534580
n02123045,n03837869,n07614500
n03770439,n04409515,n03014705
n02093754,n07730033,n03983396
n02236044,n02086079,n02979186
n02094258,n02101006,n03208938
n02669723,n04371774,n04317175
n01560419,n01664065,n03126707
n10148035,n04039381,n02971356
n01770081,n02655020,n01558993
n03935335,n02356798,n07614500
n02056570,n02807133,n02817516
n02105251,n04273569,n01601694
n02130308,n02859443,n03642806
n04265275,n03131574,n02444819
n02843684,n02493509,n03733805
n02107312,n02804610,n04067472
n01833805,n03160309,n03840681
n07768694,n03837869,n02444819
n04209133,n01494475,n02085620
n02093754,n04462240,n04476259
n03814906,n04501370,n03961711
n02894605,n04204238,n02119022
n02490219,n04009552,n03584829
n01955084,n03255030,n02480495
n03970156,n03255030,n04435653
n02109525,n03445924,n02840245
n02454379,n01843383,n04366367
n02107908,n01534433,n04239074
n04004767,n02776631,n04136333
n03891332,n02018795,n02110806
n03208938,n03710637,n01531178
n02088238,n03888605,n02013706
n07860988,n07613480,n01817953
n07714990,n04517823,n02099712
n02481823,n01806567,n04270147
n01753488,n03944341,n09332890
n03676483,n03594734,n03902125
n12998815,n04392985,n04509417
n07930864,n04355933,n02137549
n01768244,n03026506,n02666196
n02011460,n04039381,n02097474
n04380533,n04606251,n02504013
n02108551,n03977966,n01797886
n04507155,n02325366,n01685808
n01728920,n01729977,n02268853
n02730930,n01737021,n04111531
n03447447,n07831146,n03297495
n01644373,n03372029,n02095314
n02098105,n02966193,n03832673
n03837869,n03196217,n03770679
n02098286,n03404251,n01860187
n02607072,n01518878,n03877472
n03400231,n04589890,n02667093
n01883070,n01734418,n03733805
n03532672,n04067472,n02106030
n01980166,n02415577,n04277352
n02231487,n01877812,n02002724
n01978287,n01774750,n02190166
n03995372,n02910353,n01843065
n03956157,n07693725,n01667778
n03627232,n06596364,n01820546
n02493509,n03188531,n03272562
n04550184,n01818515,n02490219
n03124043,n04310018,n04266014
n02009229,n02917067,n07860988
n04310018,n01496331,n02091635
n02097298,n01773549,n03775546
n01692333,n02328150,n03717622
n02113624,n01742172,n04118776
n01873310,n09256479,n04389033
n02123045,n02089078,n04136333
n04552348,n01914609,n02509815
n02837789,n03124170,n04380533
n07684084,n02105251,n02457408
n01496331,n01644900,n03720891
n02105412,n02114367,n03776460
n03388549,n03444034,n02504013
n12768682,n01694178,n02342885
n03841143,n03724870,n04487081
n02095889,n03255030,n03871628
n02909870,n03908714,n03877845
n01631663,n01742172,n04417672
n04162706,n03970156,n02236044
n03804744,n04372370,n02443484
n02747177,n04005630,n01443537
n03902125,n04065272,n02229544
n07615774,n02412080,n04086273
n02777292,n10565667,n02980441
n04612504,n09229709,n02951585
n03075370,n02093859,n03877845
n03938244,n02859443,n02113712
n02259212,n01740131,n03956157
n02106166,n03874599,n02808440
n03461385,n03459775,n02114855
n04483307,n04355338,n01514668
n09256479,n03770439,n03041632
n03272562,n02965783,n03721384
n01484850,n03733131,n01531178
n01829413,n02441942,n02113712
n01498041,n03814639,n03947888
n03902125,n03062245,n02391049
n03467068,n03908618,n03485794
n02169497,n03590841,n01847000
n01978287,n01774750,n02883205
n02097658,n01945685,n03877845
n03673027,n02843684,n03661043
n03908714,n01818515,n07579787
n13052670,n01773157,n04209133
n04350905,n02325366,n04604644
n02783161,n01698640,n02117135
n02128757,n04228054,n03877845
n01873310,n04228054,n02117135
n01773549,n01945685,n04033995
n02117135,n03187595,n04579432
n03976657,n02105251,n04239074
n02948072,n02488702,n02027492
n04200800,n04483307,n03532672
n04409515,n04540053,n02096437
n01531178,n02099601,n04204347
n04131690,n04398044,n03657121
n04125021,n02769748,n02113978
n07749582,n01693334,n02917067
n03445777,n01734418,n02087394
n03837869,n01945685,n04118538
n04235860,n07742313,n03388549
n02090379,n02808440,n02097298
n07920052,n03259280,n03602883
n09246464,n03529860,n04118776
n04552348,n03355925,n03208938
n01882714,n02088632,n04435653
n04550184,n04141076,n03223299
n02115913,n04540053,n15075141
n02403003,n01498041,n03786901
n02120505,n07684084,n04590129
n02268443,n01675722,n02106550
n03825788,n01756291,n02408429
n04275548,n03599486,n01806143
n03888257,n02177972,n04118776
n03857828,n01873310,n02087046
n01664065,n04458633,n01514668
n02490219,n02979186,n09428293
n02115913,n02395406,n04033995
n02013706,n09288635,n03871628
n02948072,n01945685,n04604644
n04310018,n04346328,n02264363
n02447366,n04252225,n04328186
n02090379,n02488702,n03709823
n02277742,n04350905,n01843065
n04447861,n03658185,n04004767
n04204347,n02128925,n02093647
n04090263,n01697457,n02492660
n07831146,n01669191,n01820546
n03710721,n04372370,n02088094
n01986214,n03733805,n01847000
n01608432,n01945685,n04423845
n10148035,n04039381,n02971356
n02783161,n03062245,n04252225
n02086910,n02423022,n03887697
n03954731,n01945685,n03814639
n02106550,n03124043,n03028079
n03916031,n04275548,n02894605
n03594945,n04149813,n03787032
n03124170,n03444034,n01537544
n03633091,n02536864,n03642806
n02107574,n03982430,n03662601
n04380533,n02395406,n03642806
n04204238,n03042490,n03661043
n02219486,n02321529,n02917067
n02085936,n02487347,n01843383
n02124075,n03255030,n03947888
n02101006,n03534580,n04004767
n02319095,n07754684,n02105056
n02259212,n03124043,n01828970
n01682714,n03710193,n03207743
n01824575,n04398044,n02229544
n02123394,n07831146,n03388549
n04428191,n02776631,n02687172
n01917289,n03290653,n03388549
n03843555,n04356056,n03216828
n07717556,n01729322,n01843383
n02102480,n03627232,n04486054
n02808304,n07871810,n04548280
n03443371,n04346328,n03109150
n03895866,n01491361,n01796340
n07718747,n02077923,n02504013
n03983396,n02093647,n04517823
n02641379,n07742313,n02095570
n02730930,n11939491,n02917067
n02110341,n02123394,n03743016
n07583066,n02111889,n03956157
n07717556,n02782093,n01698640
n04252225,n02102318,n02119022
n02106030,n04133789,n02276258
n02690373,n02895154,n03014705
n02086646,n02011460,n02708093
n02107683,n02877765,n04548280
n07717556,n04296562,n03950228
n02417914,n02877765,n03775071
n02342885,n03938244,n02091467
n03717622,n04149813,n02088094
n01784675,n07932039,n04118776
n02317335,n02011460,n01797886
n02097130,n02769748,n03126707
n03709823,n03017168,n03787032
n03977966,n13044778,n02167151
n01843065,n01796340,n04258138
n02927161,n02486261,n02113186
n13044778,n03220513,n04380533
n03207941,n03461385,n04251144
n03602883,n06596364,n01797886
n03127747,n01910747,n03770679
n02974003,n02782093,n03792972
n12768682,n04548362,n02492660
n07718747,n02321529,n02447366
n03866082,n02206856,n03670208
n07720875,n02129604,n02090622
n04252225,n01494475,n02093991
n02099267,n02123045,n03207941
n07730033,n01914609,n02102040
n02130308,n02098413,n07248320
n02002556,n02096177,n04201297
n04209239,n03899768,n01820546
n02808304,n07871810,n12144580
n03124043,n01491361,n02883205
n04067472,n02091032,n02088238
n04263257,n04125021,n04209133
n04116512,n03670208,n02168699
n03450230,n12057211,n03532672
n04371774,n03837869,n15075141
